Date,9988.HK,700.HK,941.HK,175.HK,939.HK
2020/1/3,0.00952381,0.001577237,-0.014541192,0.010184651,-0.011774743
2020/1/6,-0.004716981,-0.014597462,-0.002321347,-0.020230312,-0.010423669
2020/1/7,0.007582938,0.021714631,-0.006997608,0.015506344,-0.006012228
2020/1/8,-0.008466604,-0.009334923,0.000761619,-0.008885568,-0.007564789
2020/1/9,0.022770398,0.020924464,0.015665376,0.034716707,0.016772655
2020/1/10,0.011131725,0.022070595,-0.010025729,-0.005002212,0.007496711
2020/1/13,0.022018349,0.019576535,0.018717574,0.021273118,0.01191504
2020/1/14,0.003590664,-0.014795738,0.010686065,-0.018307867,-0.007370797
2020/1/15,-0.012522361,-0.003968955,-0.004542036,-0.007524926,-0.002951894
2020/1/16,-0.00634058,0.003027209,0.003046236,-0.007516278,-0.005940699
2020/1/17,0.004557885,-0.002515482,0.003003178,-0.017754652,0.011952404
2020/1/20,-0.000907441,-0.007509773,0.037040643,-0.043800589,-0.017732651
2020/1/21,-0.019981835,-0.02676116,-0.024778988,-0.052552193,-0.031584311
2020/1/22,0.012048193,0.01450605,0.036606658,0.002856675,0.010893624
2020/1/23,-0.022893773,-0.013810299,-0.020169184,-0.035480617,-0.012299258
2020/1/24,0.005623243,0.000495173,0.02499763,-0.011751767,0
2020/1/29,-0.033550792,-0.006724731,-0.030141298,-0.02978326,-0.037322112
2020/1/30,-0.027000964,-0.021412791,-0.044365227,-0.039865884,-0.030692969
2020/1/31,-0.006937562,-0.005307341,-0.00620559,0.001562265,-0.008351628
2020/2/3,0.022954092,0.018761477,-0.006209585,0.004854652,0.010106359
2020/2/4,0.04,0.034186648,0,0.012609262,0.011637176
2020/2/5,0.011257036,-0.001994859,-0.001579582,0.02352729,0.011501355
2020/2/6,0.008348794,0.01989573,0.054174126,0.024564298,0.026040982
2020/2/7,-0.009199632,0.005983109,0.002209633,0.00894288,0.001569415
2020/2/10,-0.012999071,-0.004498929,-0.006682433,0.014821759,-0.006326138
2020/2/11,-0.001881468,0.020984805,-0.005996796,0.056924721,0.023886824
2020/2/12,0.013195099,0.004893219,0,0.016599728,0.010893782
2020/2/13,0.010232558,0.013138263,-0.005999396,-0.008199866,-0.009251012
2020/2/14,-0.010128913,-0.003382083,-0.014368345,-0.008196017,0.010893624
2020/2/17,0.011162791,0.003878007,0.013812355,0.040032939,0.004585514
2020/2/18,-0.015639374,-0.020178432,-0.003775102,0,-0.010694322
2020/2/19,0,0.007833189,0.019740737,0,0.012358927
2020/2/20,0.007476636,-0.003374139,-0.004459259,0.00267402,0
2020/2/21,-0.013914657,-0.021974123,-0.009738433,0,-0.013738139
2020/2/24,-0.03480715,-0.0264283,-0.009852956,-0.01988044,-0.018583714
2020/2/25,0.006822612,0.028690614,-0.01296244,0.016241086,0.00316156
2020/2/26,-0.017424976,-0.004955725,-0.023246978,-0.012003533,-0.006286369
2020/2/27,0.010837438,-0.001006194,0.004775769,-0.008052652,0.018978413
