Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2012/1/4,-3.294604701,-0.033978676,1.214813626,0.424283195,0,0,1,0,0
2012/1/5,-5.322546594,2.029557915,12.05098743,-0.054757368,0,0,0,1,0
2012/1/6,-1.935840708,0.408261107,8.445638984,-1.12317469,0,0,0,0,1
2012/1/9,3.159141583,0.218755375,-0.846309128,0.662827915,1,0,0,0,0
2012/1/10,3.393571755,2.422886093,4.346910792,1.407684692,0,1,0,0,0
2012/1/11,5.521823899,0.764107308,13.2219134,-0.261184179,0,0,1,0,0
2012/1/12,0.176673751,1.285617318,2.076804589,0.433151665,0,0,0,1,0
2012/1/13,-48.31866959,-1.287297684,-3.895508708,-0.981475453,0,0,0,0,1
2012/1/17,41.79473847,1.605691582,-0.904342987,1.207730441,0,1,0,0,0
2012/1/18,1.97368792,3.814954107,3.207572503,1.940383286,0,0,1,0,0
2012/1/19,-0.465778564,1.680681371,3.153683407,0.894947512,0,0,0,1,0
2012/1/20,-1.495235426,-0.146144825,1.811821876,1.911045486,0,0,0,0,1
2012/1/23,1.598687216,-0.226970969,-0.788918233,-0.229158019,1,0,0,0,0
2012/1/24,6.06974959,0.221789618,-1.310334037,-0.650532465,0,1,0,0,0
2012/1/25,5.015043764,2.841235323,1.317238125,1.601680374,0,0,1,0,0
2012/1/26,8.669094263,-1.155834525,-2.024824637,-0.437604257,0,0,0,1,0
2012/1/27,3.369045213,1.004356071,-3.546416253,-1.456069002,0,0,0,0,1
2012/1/30,2.045690497,-0.409188546,-1.408045057,-0.133091531,1,0,0,0,0
2012/1/31,-4.226841777,0.168922523,-2.174985786,-0.411143917,0,1,0,0,0
2012/2/1,4.385964912,3.058987007,3.62252186,1.653419521,0,0,1,0,0
2012/2/2,5.663032454,1.001485112,-0.597352449,-0.217238131,0,0,0,1,0
2012/2/3,7.438004235,4.019680524,19.2131882,3.085693417,0,0,0,0,1
2012/2/6,5.216283762,-0.315763028,4.967207987,-0.332368493,1,0,0,0,0
2012/2/7,-1.571933962,0.180048863,-4.471261738,0.643629142,0,1,0,0,0
2012/2/8,2.610755363,1.014090521,-4.50188105,0.111622742,0,0,1,0,0
2012/2/9,5.088858301,0.974841042,-0.087070201,0.126319956,0,0,0,1,0
2012/2/10,-11.3570442,-1.994206127,-2.312582367,-1.730543363,0,0,0,0,1
2012/2/13,3.135053272,2.368382991,-1.599011289,1.421933674,1,0,0,0,0
2012/2/14,13.33758866,0.03752486,0.600123102,0.082336236,0,1,0,0,0
2012/2/15,3.241262046,-1.364335586,-4.623186033,-1.889421569,0,0,1,0,0
2012/2/16,4.389508929,3.774225521,22.44752729,2.408467289,0,0,0,1,0
2012/2/17,5.703430394,-0.68162238,1.571492128,0.887122522,0,0,0,0,1
2012/2/21,-3.359670231,-0.271869855,-2.555252887,0.305408471,0,1,0,0,0
2012/2/22,-2.029347826,-1.305717687,-4.721399033,-0.520990399,0,0,1,0,0
2012/2/23,2.265126045,2.029374363,2.22867885,0.889194948,0,0,0,1,0
2012/2/24,-5.647263249,0.572374517,-6.665777088,-0.033500992,0,0,0,0,1
2012/2/27,-0.963333333,0.203289751,3.746354595,-0.027728675,1,0,0,0,0
2012/2/28,1.413223399,1.736251585,-3.018158064,0.454685164,0,1,0,0,0
2012/2/29,-2.958074534,-1.663173472,-1.150922478,-1.019790667,0,0,1,0,0
2012/3/1,7.483174922,1.860534095,4.300334137,0.544893596,0,0,0,1,0
2012/3/2,-2.68853531,-1.0689301,-0.19640481,-0.052579678,0,0,0,0,1
2012/3/5,-1.982964135,-2.159640346,-4.23093744,-0.284336744,1,0,0,0,0
2012/3/6,-4.88600072,-3.402836149,-13.65985694,-3.927774919,0,1,0,0,0
2012/3/7,0.075883533,2.179313615,3.053519876,1.531841855,0,0,1,0,0
2012/3/8,-0.377038043,2.957567046,5.734292401,1.375091238,0,0,0,1,0
2012/3/9,12.62433834,1.508204227,1.651968319,0.272700369,0,0,0,0,1
2012/3/12,9.139680484,-0.391521714,-2.234668047,0.72918166,1,0,0,0,0
2012/3/13,0.555053381,4.710657381,6.700484749,4.204762298,0,1,0,0,0
2012/3/14,-5.541354946,0.069904075,2.395373763,0.311511586,0,0,1,0,0
2012/3/15,-2.055111852,1.285875431,-2.582499247,1.111481647,0,0,0,1,0
2012/3/16,2.286431838,-0.090793981,-4.593987776,-0.379920862,0,0,0,0,1
2012/3/19,-2.406919016,1.886909788,-1.757377682,0.122991516,1,0,0,0,0
2012/3/20,-0.142581475,-0.338658749,-2.968893166,-1.301822703,0,1,0,0,0
2012/3/21,1.357978607,0.095148252,2.024202363,-0.865021689,0,0,1,0,0
2012/3/22,-5.334289238,-0.97550824,-2.40490848,-1.494900424,0,0,0,1,0
2012/3/23,-2.325221403,0.375409686,1.214133762,0.662839737,0,0,0,0,1
2012/3/26,24.35409331,4.453342982,4.074024351,3.075134186,1,0,0,0,0
2012/3/27,3.609630494,-0.177738209,-2.238062818,-0.828825454,0,1,0,0,0
