Year,Economy,Economy Label,Flow,Flow Label,Direction,Direction Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,US$ at current prices per capita,US$ at current prices per capita Footnote,US$ at current prices per capita Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote,Percentage of Gross Fixed Capital Formation Missing value
1990,0000,"World",08,"Flow",1,"Inward",204887.703,,,38.696,,,100,,,0.89321,,,3.59448,,
1990,0000,"World",08,"Flow",2,"Outward",243874.746,,,54.482,,,100,,,1.1205,,,4.50969,,
1990,0000,"World",09,"Stock",1,"Inward",2196202.948,,,414.191,,,100,,,9.57406,,,38.5288,,
1990,0000,"World",09,"Stock",2,"Outward",2254903.328,,,497.138,,,100,,,10.31814,,,41.62042,,
1990,5100,"Africa",08,"Flow",1,"Inward",2845.173,,,4.422,,,1.38865,,,0.51055,,,2.16308,,
1990,5100,"Africa",08,"Flow",2,"Outward",658.276,,,1.637,,,0.269924,,,0.14327,,,0.58201,,
1990,5100,"Africa",09,"Stock",1,"Inward",59994.672,,,93.327,,,2.731745,,,10.76371,,,45.59985,,
1990,5100,"Africa",09,"Stock",2,"Outward",21250.396,,,50.786,,,0.942408,,,4.49612,,,18.29793,,
1990,5110,"Northern Africa",08,"Flow",1,"Inward",1155.481,,,7.824,,,0.563958,,,0.6235,,,2.71709,,
1990,5110,"Northern Africa",08,"Flow",2,"Outward",135.223,,,1.118,,,0.055448,,,0.07831,,,0.33396,,
1990,5110,"Northern Africa",09,"Stock",1,"Inward",23962.316,,,162.262,,,1.091079,,,12.9302,,,56.3468,,
1990,5110,"Northern Africa",09,"Stock",2,"Outward",1836.496,,,15.188,,,0.081445,,,1.06356,,,4.53566,,
1990,5120,"Sub-Saharan Africa",08,"Flow",1,"Inward",1689.692,,,3.409,,,0.824692,,,0.45428,,,1.89837,,
1990,5120,"Sub-Saharan Africa",08,"Flow",2,"Outward",523.053,,,1.86,,,0.214476,,,0.18237,,,0.72033,,
1990,5120,"Sub-Saharan Africa",09,"Stock",1,"Inward",36032.356,,,72.768,,,1.640666,,,9.6846,,,40.46706,,
1990,5120,"Sub-Saharan Africa",09,"Stock",2,"Outward",19413.9,,,65.254,,,0.860964,,,6.47206,,,25.66436,,
1990,5121,"Eastern Africa",08,"Flow",1,"Inward",389.289,,,2.031,,,0.190001,,,0.52971,,,2.76859,,
1990,5121,"Eastern Africa",08,"Flow",2,"Outward",19.871,,,0.383,,,0.008148,,,0.05618,,,0.44645,,
1990,5121,"Eastern Africa",09,"Stock",1,"Inward",4949.029,,,25.902,,,0.225345,,,6.73474,,,35.19984,,
1990,5121,"Eastern Africa",09,"Stock",2,"Outward",247.955,,,3.819,,,0.010996,,,0.62795,,,3.64884,,
1990,5122,"Middle Africa",08,"Flow",1,"Inward",-344.61,,,-4.764,,,-0.168195,,,-0.62616,,,-3.9269,,
1990,5122,"Middle Africa",08,"Flow",2,"Outward",52.434,,,1.491,,,0.021501,,,0.13164,,,0.79366,,
1990,5122,"Middle Africa",09,"Stock",1,"Inward",4085.905,,,56.39,,,0.186044,,,7.40885,,,46.37237,,
1990,5122,"Middle Africa",09,"Stock",2,"Outward",1388.509,,,39.472,,,0.061577,,,3.48584,,,21.01679,,
1990,5123,"Southern Africa",08,"Flow",1,"Inward",91.586,,,1.987,,,0.0447,,,0.07324,,,0.36149,,
1990,5123,"Southern Africa",08,"Flow",2,"Outward",39.246,,,0.886,,,0.016093,,,0.03153,,,0.15699,,
1990,5123,"Southern Africa",09,"Stock",1,"Inward",12984.875,,,281.647,,,0.591242,,,10.38351,,,51.2517,,
1990,5123,"Southern Africa",09,"Stock",2,"Outward",15574.941,,,351.629,,,0.690714,,,12.51352,,,62.30352,,
1990,5124,"Western Africa",08,"Flow",1,"Inward",1553.428,,,8.372,,,0.758185,,,1.31233,,,3.80418,,
1990,5124,"Western Africa",08,"Flow",2,"Outward",411.502,,,2.744,,,0.168735,,,0.47226,,,1.12565,,
1990,5124,"Western Africa",09,"Stock",1,"Inward",14012.547,,,75.523,,,0.638035,,,11.83777,,,34.3152,,
1990,5124,"Western Africa",09,"Stock",2,"Outward",2202.495,,,14.385,,,0.097676,,,2.28997,,,5.91357,,
1990,5200,"Americas",08,"Flow",1,"Inward",64541.106,,,91.294,,,31.500722,,,0.83836,,,3.98291,,
1990,5200,"Americas",08,"Flow",2,"Outward",37582.486,,,56.826,,,15.410569,,,0.49204,,,2.33433,,
1990,5200,"Americas",09,"Stock",1,"Inward",759631.188,,,1075.872,,,34.588388,,,9.87033,,,46.89125,,
1990,5200,"Americas",09,"Stock",2,"Outward",868618.22,,,1305.806,,,38.521306,,,11.35773,,,53.91048,,
1990,5210,"Northern America",08,"Flow",1,"Inward",56004.276,,,199.188,,,27.334132,,,0.85382,,,4.00416,,
1990,5210,"Northern America",08,"Flow",2,"Outward",36218.544,,,128.817,,,14.851289,,,0.55218,,,2.58953,,
1990,5210,"Northern America",09,"Stock",1,"Inward",652444.23,,,2320.521,,,29.70783,,,9.94696,,,46.64811,,
1990,5210,"Northern America",09,"Stock",2,"Outward",816569.377,,,2904.258,,,36.213055,,,12.44916,,,58.38265,,
1990,5220,"Latin America and the Caribbean",08,"Flow",1,"Inward",8536.83,,,20.049,,,4.16659,,,0.74917,,,3.84869,,
1990,5220,"Latin America and the Caribbean",08,"Flow",2,"Outward",1363.942,,,3.588,,,0.55928,,,0.12642,,,0.64538,,
1990,5220,"Latin America and the Caribbean",09,"Stock",1,"Inward",107186.958,,,252.265,,,4.880558,,,9.42821,,,48.42764,,
1990,5220,"Latin America and the Caribbean",09,"Stock",2,"Outward",52048.843,,,135.532,,,2.308252,,,4.78134,,,24.48521,,
1990,5221,"Caribbean",08,"Flow",1,"Inward",437.1,,,24.272,,,0.213336,,,1.79628,,,9.96592,,
1990,5221,"Caribbean",08,"Flow",2,"Outward",29,,,3.14,,,0.011891,,,0.32978,,,1.72435,,
1990,5221,"Caribbean",09,"Stock",1,"Inward",3876.021,,,219.758,,,0.176487,,,16.37828,,,90.86829,,
1990,5221,"Caribbean",09,"Stock",2,"Outward",62.7,,,17.263,,,0.002781,,,0.59003,,,3.32103,,
1990,5222,"Central America",08,"Flow",1,"Inward",3055.543,,,27.246,,,1.491326,,,0.87912,,,4.71802,,
1990,5222,"Central America",08,"Flow",2,"Outward",226.139,,,2.482,,,0.092727,,,0.0693,,,0.3646,,
1990,5222,"Central America",09,"Stock",1,"Inward",28495.647,,,254.089,,,1.297496,,,8.19858,,,43.99976,,
1990,5222,"Central America",09,"Stock",2,"Outward",2792.572,,,27.773,,,0.123844,,,0.8356,,,4.42916,,
1990,5223,"South America",08,"Flow",1,"Inward",5044.187,,,17.062,,,2.461928,,,0.65791,,,3.30811,,
1990,5223,"South America",08,"Flow",2,"Outward",1108.803,,,3.962,,,0.454661,,,0.14908,,,0.75104,,
1990,5223,"South America",09,"Stock",1,"Inward",74815.29,,,253.515,,,3.406575,,,9.77159,,,49.12185,,
1990,5223,"South America",09,"Stock",2,"Outward",49193.571,,,175.784,,,2.181627,,,6.61422,,,33.32108,,
1990,5300,"Asia",08,"Flow",1,"Inward",25044.345,,,8,,,12.22345,,,0.45557,,,1.4879,,
1990,5300,"Asia",08,"Flow",2,"Outward",62116.303,,,21.233,,,25.470576,,,1.14925,,,3.7195,,
1990,5300,"Asia",09,"Stock",1,"Inward",353153.24,,,112.459,,,16.080173,,,6.42,,,20.97567,,
1990,5300,"Asia",09,"Stock",2,"Outward",269699.178,,,91.538,,,11.960565,,,4.99137,,,16.15589,,
1990,5330,"Eastern Asia",08,"Flow",1,"Inward",10950.541,,,8.001,,,5.344655,,,0.26891,,,0.81989,,
1990,5330,"Eastern Asia",08,"Flow",2,"Outward",60429.105,,,44.855,,,24.778746,,,1.49049,,,4.5295,,
1990,5330,"Eastern Asia",09,"Stock",1,"Inward",249929.982,,,182.318,,,11.380095,,,6.13476,,,18.71346,,
1990,5330,"Eastern Asia",09,"Stock",2,"Outward",250473.259,,,185.919,,,11.107938,,,6.17797,,,18.77439,,
1990,5350,"South-eastern Asia",08,"Flow",1,"Inward",12820.849,,,29.636,,,6.257501,,,3.44134,,,11.61836,,
1990,5350,"South-eastern Asia",08,"Flow",2,"Outward",2327.955,,,7.118,,,0.95457,,,0.65274,,,2.16335,,
1990,5350,"South-eastern Asia",09,"Stock",1,"Inward",61640.232,,,140.094,,,2.806673,,,16.47025,,,55.78761,,
1990,5350,"South-eastern Asia",09,"Stock",2,"Outward",9471.226,,,28.322,,,0.420028,,,2.64307,,,8.79003,,
