Year,Economy,Economy Label,Flow,Flow Label,Direction,Direction Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1990,0,World,8,Flow,1,Inward,204887.703,,,100,,
1990,0,World,8,Flow,2,Outward,243874.746,,,100,,
1990,0,World,9,Stock,1,Inward,2196202.948,,,100,,
1990,0,World,9,Stock,2,Outward,2254903.328,,,100,,
1990,5100,Africa,8,Flow,1,Inward,2845.173,,,1.38865,,
1990,5100,Africa,8,Flow,2,Outward,658.276,,,0.269924,,
1990,5100,Africa,9,Stock,1,Inward,59994.672,,,2.731745,,
1990,5100,Africa,9,Stock,2,Outward,21250.396,,,0.942408,,
1990,5110,Northern Africa,8,Flow,1,Inward,1155.481,,,0.563958,,
1990,5110,Northern Africa,8,Flow,2,Outward,135.223,,,0.055448,,
1990,5110,Northern Africa,9,Stock,1,Inward,23962.316,,,1.091079,,
1990,5110,Northern Africa,9,Stock,2,Outward,1836.496,,,0.081445,,
1990,5120,Sub-Saharan Africa,8,Flow,1,Inward,1689.692,,,0.824692,,
1990,5120,Sub-Saharan Africa,8,Flow,2,Outward,523.053,,,0.214476,,
1990,5120,Sub-Saharan Africa,9,Stock,1,Inward,36032.356,,,1.640666,,
1990,5120,Sub-Saharan Africa,9,Stock,2,Outward,19413.9,,,0.860964,,
1990,5121,Eastern Africa,8,Flow,1,Inward,389.289,,,0.190001,,
1990,5121,Eastern Africa,8,Flow,2,Outward,19.871,,,0.008148,,
1990,5121,Eastern Africa,9,Stock,1,Inward,4949.029,,,0.225345,,
1990,5121,Eastern Africa,9,Stock,2,Outward,247.955,,,0.010996,,
1990,5122,Middle Africa,8,Flow,1,Inward,-344.61,,,-0.168195,,
1990,5122,Middle Africa,8,Flow,2,Outward,52.434,,,0.021501,,
1990,5122,Middle Africa,9,Stock,1,Inward,4085.905,,,0.186044,,
1990,5122,Middle Africa,9,Stock,2,Outward,1388.509,,,0.061577,,
1990,5123,Southern Africa,8,Flow,1,Inward,91.586,,,0.0447,,
1990,5123,Southern Africa,8,Flow,2,Outward,39.246,,,0.016093,,
1990,5123,Southern Africa,9,Stock,1,Inward,12984.875,,,0.591242,,
1990,5123,Southern Africa,9,Stock,2,Outward,15574.941,,,0.690714,,
1990,5124,Western Africa,8,Flow,1,Inward,1553.428,,,0.758185,,
1990,5124,Western Africa,8,Flow,2,Outward,411.502,,,0.168735,,
1990,5124,Western Africa,9,Stock,1,Inward,14012.547,,,0.638035,,
1990,5124,Western Africa,9,Stock,2,Outward,2202.495,,,0.097676,,
1990,5200,Americas,8,Flow,1,Inward,64529.106,,,31.494865,,
1990,5200,Americas,8,Flow,2,Outward,37582.486,,,15.410569,,
1990,5200,Americas,9,Stock,1,Inward,759631.188,,,34.588388,,
1990,5200,Americas,9,Stock,2,Outward,868618.22,,,38.521306,,
1990,5210,Northern America,8,Flow,1,Inward,56004.276,,,27.334132,,
1990,5210,Northern America,8,Flow,2,Outward,36218.544,,,14.851289,,
1990,5210,Northern America,9,Stock,1,Inward,652444.23,,,29.70783,,
1990,5210,Northern America,9,Stock,2,Outward,816569.377,,,36.213055,,
1990,5220,Latin America and the Caribbean,8,Flow,1,Inward,8524.83,,,4.160733,,
1990,5220,Latin America and the Caribbean,8,Flow,2,Outward,1363.942,,,0.55928,,
1990,5220,Latin America and the Caribbean,9,Stock,1,Inward,107186.958,,,4.880558,,
1990,5220,Latin America and the Caribbean,9,Stock,2,Outward,52048.843,,,2.308252,,
1990,5221,Caribbean,8,Flow,1,Inward,425.1,,,0.20748,,
1990,5221,Caribbean,8,Flow,2,Outward,29,,,0.011891,,
1990,5221,Caribbean,9,Stock,1,Inward,3876.021,,,0.176487,,
1990,5221,Caribbean,9,Stock,2,Outward,62.7,,,0.002781,,
1990,5222,Central America,8,Flow,1,Inward,3055.543,,,1.491326,,
1990,5222,Central America,8,Flow,2,Outward,226.139,,,0.092727,,
1990,5222,Central America,9,Stock,1,Inward,28495.647,,,1.297496,,
1990,5222,Central America,9,Stock,2,Outward,2792.572,,,0.123844,,
1990,5223,South America,8,Flow,1,Inward,5044.187,,,2.461928,,
1990,5223,South America,8,Flow,2,Outward,1108.803,,,0.454661,,
1990,5223,South America,9,Stock,1,Inward,74815.29,,,3.406575,,
1990,5223,South America,9,Stock,2,Outward,49193.571,,,2.181627,,
1990,5300,Asia,8,Flow,1,Inward,25044.345,,,12.22345,,
1990,5300,Asia,8,Flow,2,Outward,62116.303,,,25.470576,,
1990,5300,Asia,9,Stock,1,Inward,353153.24,,,16.080173,,
1990,5300,Asia,9,Stock,2,Outward,269699.178,,,11.960565,,
1990,5330,Eastern Asia,8,Flow,1,Inward,10950.541,,,5.344655,,
1990,5330,Eastern Asia,8,Flow,2,Outward,60429.105,,,24.778746,,
1990,5330,Eastern Asia,9,Stock,1,Inward,249929.982,,,11.380095,,
1990,5330,Eastern Asia,9,Stock,2,Outward,250473.259,,,11.107938,,
1990,5350,South-eastern Asia,8,Flow,1,Inward,12820.849,,,6.257501,,
1990,5350,South-eastern Asia,8,Flow,2,Outward,2327.955,,,0.95457,,
1990,5350,South-eastern Asia,9,Stock,1,Inward,61640.232,,,2.806673,,
1990,5350,South-eastern Asia,9,Stock,2,Outward,9471.226,,,0.420028,,
1990,5320,Southern Asia,8,Flow,1,Inward,212.801,,,0.103862,,
1990,5320,Southern Asia,8,Flow,2,Outward,65.316,,,0.026783,,
1990,5320,Southern Asia,9,Stock,1,Inward,6795.054,,,0.3094,,
1990,5320,Southern Asia,9,Stock,2,Outward,478.252,,,0.021209,,
1990,5340,Western Asia,8,Flow,1,Inward,1060.153,,,0.517431,,
1990,5340,Western Asia,8,Flow,2,Outward,-706.073,,,-0.289523,,
1990,5340,Western Asia,9,Stock,1,Inward,34787.972,,,1.584005,,
1990,5340,Western Asia,9,Stock,2,Outward,9276.441,,,0.41139,,
1990,5400,Europe,8,Flow,1,Inward,102586.562,,,50.069653,,
1990,5400,Europe,8,Flow,2,Outward,140950.284,,,57.796179,,
1990,5400,Europe,9,Stock,1,Inward,933173.717,,,42.490323,,
1990,5400,Europe,9,Stock,2,Outward,1053374.139,,,46.714825,,
1990,5410,Eastern Europe,8,Flow,1,Inward,814.719,,,0.397642,,
1990,5410,Eastern Europe,8,Flow,2,Outward,40.451,,,0.016587,,
1990,5410,Eastern Europe,9,Stock,1,Inward,2444.278,,,0.111296,,
1990,5410,Eastern Europe,9,Stock,2,Outward,444.658,,,0.01972,,
1990,5420,Northern Europe,8,Flow,1,Inward,36416.908,,,17.774082,,
1990,5420,Northern Europe,8,Flow,2,Outward,38352.741,,,15.726409,,
1990,5420,Northern Europe,9,Stock,1,Inward,280536.362,,,12.773699,,
1990,5420,Northern Europe,9,Stock,2,Outward,322624.38,,,14.307681,,
1990,5430,Southern Europe,8,Flow,1,Inward,20639.444,,,10.07354,,
1990,5430,Southern Europe,8,Flow,2,Outward,10457.113,,,4.287903,,
1990,5430,Southern Europe,9,Stock,1,Inward,143306.77,,,6.525206,,
1990,5430,Southern Europe,9,Stock,2,Outward,80095.193,,,3.552046,,
1990,5440,Western Europe,8,Flow,1,Inward,44715.492,,,21.82439,,
1990,5440,Western Europe,8,Flow,2,Outward,92099.979,,,37.765279,,
1990,5440,Western Europe,9,Stock,1,Inward,506886.307,,,23.080121,,
1990,5440,Western Europe,9,Stock,2,Outward,650209.909,,,28.835378,,
1990,5500,Oceania,8,Flow,1,Inward,9882.516,,,4.823382,,
1990,5500,Oceania,8,Flow,2,Outward,2567.397,,,1.052752,,
1990,5500,Oceania,9,Stock,1,Inward,90250.132,,,4.109371,,
1990,5500,Oceania,9,Stock,2,Outward,41961.394,,,1.860895,,
1990,5520,Australia and New Zealand,8,Flow,1,Inward,9589.155,,,4.6802,,
1990,5520,Australia and New Zealand,8,Flow,2,Outward,2557.453,,,1.048675,,
1990,5520,Australia and New Zealand,9,Stock,1,Inward,88302.819,,,4.020704,,
1990,5520,Australia and New Zealand,9,Stock,2,Outward,41926.938,,,1.859367,,
1990,5510,Oceania excluding Australia and New Zealand,8,Flow,1,Inward,293.361,,,0.143182,,
1990,5510,Oceania excluding Australia and New Zealand,8,Flow,2,Outward,9.944,,,0.004077,,
1990,5510,Oceania excluding Australia and New Zealand,9,Stock,1,Inward,1947.313,,,0.088667,,
1990,5510,Oceania excluding Australia and New Zealand,9,Stock,2,Outward,34.455,,,0.001528,,
1990,4,Afghanistan,8,Flow,1,Inward,0,,,0,,
1990,4,Afghanistan,9,Stock,1,Inward,11.78,,,0.000536,,
1990,12,Algeria,8,Flow,1,Inward,40,,,0.019523,,
1990,12,Algeria,8,Flow,2,Outward,4.689,,,0.001923,,
1990,12,Algeria,9,Stock,1,Inward,1560.57,,,0.071058,,
1990,12,Algeria,9,Stock,2,Outward,183.039,,,0.008117,,
1990,24,Angola,8,Flow,1,Inward,-334.5,,,-0.16326,,
1990,24,Angola,8,Flow,2,Outward,0.9,,,0.000369,,
1990,24,Angola,9,Stock,1,Inward,1024.65,,,0.046656,,
1990,24,Angola,9,Stock,2,Outward,0.9,,,4.00E-05,,
1990,660,Anguilla,8,Flow,1,Inward,10.82,,,0.005281,,
1990,28,Antigua and Barbuda,8,Flow,1,Inward,58.75,,,0.028674,,
1990,32,Argentina,8,Flow,1,Inward,1836,,,0.896101,,
1990,32,Argentina,8,Flow,2,Outward,34.903,,,0.014312,,
1990,32,Argentina,9,Stock,1,Inward,9084.648,,,0.413652,,
1990,32,Argentina,9,Stock,2,Outward,6057.272,,,0.268627,,
1990,51,Armenia,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,51,Armenia,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,51,Armenia,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,51,Armenia,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,533,Aruba,8,Flow,1,Inward,130.503,,,0.063695,,
1990,533,Aruba,8,Flow,2,Outward,486.891,,,0.199648,,
1990,533,Aruba,9,Stock,1,Inward,145.155,,,0.006609,,
1990,36,Australia,8,Flow,1,Inward,7904.392,,,3.857914,,
1990,36,Australia,8,Flow,2,Outward,194.37,,,0.079701,,
1990,36,Australia,9,Stock,1,Inward,80364.379,,,3.659242,,
1990,36,Australia,9,Stock,2,Outward,37505.026,,,1.663265,,
1990,40,Austria,8,Flow,1,Inward,653,,,0.318711,,
1990,40,Austria,8,Flow,2,Outward,1701,,,0.697489,,
1990,40,Austria,9,Stock,1,Inward,11606.088,,,0.528462,,
1990,40,Austria,9,Stock,2,Outward,5021.383,,,0.222687,,
1990,31,Azerbaijan,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,31,Azerbaijan,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,31,Azerbaijan,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,31,Azerbaijan,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,44,Bahamas,8,Flow,1,Inward,-17.3,,,-0.008444,,
1990,44,Bahamas,8,Flow,2,Outward,0.115,,,4.70E-05,,
1990,44,Bahamas,9,Stock,1,Inward,585.78,,,0.026672,,
1990,48,Bahrain,8,Flow,1,Inward,-182.9,,,-0.089268,,
1990,48,Bahrain,8,Flow,2,Outward,25,,,0.010251,,
1990,48,Bahrain,9,Stock,1,Inward,551.601,,,0.025116,,
1990,48,Bahrain,9,Stock,2,Outward,719.422,,,0.031905,,
1990,50,Bangladesh,8,Flow,1,Inward,3.239,,,0.001581,,
1990,50,Bangladesh,8,Flow,2,Outward,0.5,,,0.000205,,
1990,50,Bangladesh,9,Stock,1,Inward,477.48,,,0.021741,,
1990,50,Bangladesh,9,Stock,2,Outward,45.032,,,0.001997,,
1990,52,Barbados,8,Flow,1,Inward,11.213,,,0.005473,,
1990,52,Barbados,8,Flow,2,Outward,1.35,,,0.000554,,
1990,52,Barbados,9,Stock,1,Inward,171.33,,,0.007801,,
1990,52,Barbados,9,Stock,2,Outward,23.383,,,0.001037,,
1990,112,Belarus,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,112,Belarus,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,112,Belarus,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,112,Belarus,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,56,Belgium,8,Flow,1,Inward,8046.73,,,3.927386,,
1990,56,Belgium,8,Flow,2,Outward,6314.44,,,2.589214,,
1990,56,Belgium,9,Stock,1,Inward,58387.8,,,2.658579,,
1990,56,Belgium,9,Stock,2,Outward,40635.8,,,1.802108,,
1990,84,Belize,8,Flow,1,Inward,19,,,0.009273,,
1990,84,Belize,8,Flow,2,Outward,1.8,,,0.000738,,
1990,84,Belize,9,Stock,1,Inward,89.08,,,0.004056,,
1990,84,Belize,9,Stock,2,Outward,20,,,0.000887,,
1990,204,Benin,8,Flow,1,Inward,62.377,,,0.030444,,
1990,204,Benin,8,Flow,2,Outward,0.273,,,0.000112,,
1990,204,Benin,9,Stock,1,Inward,,,Negative accumulation of flows; Value included in regional and global totals,,,Negative accumulation of flows; Value included in regional and global totals
1990,204,Benin,9,Stock,2,Outward,1.562,,,6.90E-05,,
1990,64,Bhutan,8,Flow,1,Inward,1.6,,,0.000781,,
1990,64,Bhutan,9,Stock,1,Inward,2.02,,,9.20E-05,,
1990,68,Bolivia (Plurinational State of),8,Flow,1,Inward,67,,,0.032701,,
1990,68,Bolivia (Plurinational State of),8,Flow,2,Outward,1.1,,,0.000451,,
1990,68,Bolivia (Plurinational State of),9,Stock,1,Inward,1025.7,,,0.046703,,
1990,68,Bolivia (Plurinational State of),9,Stock,2,Outward,7.1,,,0.000315,,
1990,70,Bosnia and Herzegovina,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,70,Bosnia and Herzegovina,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,70,Bosnia and Herzegovina,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,70,Bosnia and Herzegovina,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,72,Botswana,8,Flow,1,Inward,95.9,,,0.046806,,
1990,72,Botswana,8,Flow,2,Outward,7.364,,,0.003019,,
1990,72,Botswana,9,Stock,1,Inward,1309.3,,,0.059617,,
1990,72,Botswana,9,Stock,2,Outward,447.247,,,0.019834,,
1990,76,Brazil,8,Flow,1,Inward,988.8,,,0.482606,,
1990,76,Brazil,8,Flow,2,Outward,624.6,,,0.256115,,
1990,76,Brazil,9,Stock,1,Inward,37143.412,,,1.691256,,
1990,76,Brazil,9,Stock,2,Outward,41044.136,,,1.820217,,
1990,92,British Virgin Islands,8,Flow,1,Inward,18.35,,,0.008956,,
1990,92,British Virgin Islands,8,Flow,2,Outward,-2519.592,,,-1.03315,,
1990,92,British Virgin Islands,9,Stock,1,Inward,125.92,,,0.005734,,
1990,92,British Virgin Islands,9,Stock,2,Outward,875.008,,,0.038805,,
1990,96,Brunei Darussalam,8,Flow,1,Inward,7,,,0.003417,,
1990,96,Brunei Darussalam,9,Stock,1,Inward,33.12,,,0.001508,,
1990,100,Bulgaria,8,Flow,1,Inward,4,,,0.001952,,
1990,100,Bulgaria,8,Flow,2,Outward,-2.506,,,-0.001028,,
1990,100,Bulgaria,9,Stock,1,Inward,112.27,,,0.005112,,
1990,100,Bulgaria,9,Stock,2,Outward,124.443,,,0.005519,,
1990,854,Burkina Faso,8,Flow,1,Inward,0.46,,,0.000225,,
1990,854,Burkina Faso,8,Flow,2,Outward,-0.551,,,-0.000226,,
