Date,TSLA.US,GM.US
2012/1/3,1.872,16.1959
2012/1/4,1.84733,16.2746
2012/1/5,1.808,17.0591
2012/1/6,1.794,17.6354
2012/1/9,1.81667,17.5757
2012/1/10,1.84133,17.8813
2012/1/11,1.882,18.827
2012/1/12,1.88333,18.9834
2012/1/13,1.51933,18.6876
2012/1/17,1.77333,18.62
2012/1/18,1.78733,18.8589
2012/1/19,1.784,19.0968
2012/1/20,1.77333,19.2352
2012/1/23,1.78467,19.1745
2012/1/24,1.828,19.074
2012/1/25,1.86467,19.1745
2012/1/26,1.92933,19.0192
2012/1/27,1.95533,18.7494
2012/1/30,1.97133,18.6438
2012/1/31,1.938,18.4816
2012/2/1,1.972,18.7494
2012/2/2,2.01667,18.7046
2012/2/3,2.07667,20.1421
2012/2/6,2.12,20.5423
2012/2/7,2.10667,20.1749
2012/2/8,2.12867,19.8116
2012/2/9,2.172,19.8047
2012/2/10,2.07333,19.6215
2012/2/13,2.09933,19.496
2012/2/14,2.21133,19.5428
2012/2/15,2.24,19.1814
2012/2/16,2.27933,20.9037
2012/2/17,2.33133,21.0351
2012/2/21,2.3,20.8201
2012/2/22,2.28133,20.4269
2012/2/23,2.302,20.609
2012/2/24,2.25,20.0595
2012/2/27,2.24133,20.3601
2012/2/28,2.254,20.1143
2012/2/29,2.22733,20.0217
2012/3/1,2.294,20.3661
2012/3/2,2.26933,20.3501
2012/3/5,2.25133,20.0057
2012/3/6,2.20733,18.9126
2012/3/7,2.208,19.1436
2012/3/8,2.20467,19.5827
2012/3/9,2.316,19.7121
2012/3/12,2.40067,19.5359
2012/3/13,2.406,20.0595
2012/3/14,2.35267,20.2517
2012/3/15,2.33333,20.0425
2012/3/16,2.35467,19.6742
2012/3/19,2.332,19.5359
2012/3/20,2.33067,19.3039
2012/3/21,2.34333,19.4602
2012/3/22,2.29333,19.273
2012/3/23,2.272,19.3666
2012/3/26,2.49333,19.6822
2012/3/27,2.52933,19.506
2012/3/28,2.52333,19.3507
2012/3/29,2.48867,19.4721
2012/3/30,2.48267,19.7349
2012/4/2,2.43867,20.5921
2012/4/3,2.534,19.6493
2012/4/4,2.33333,19.3138
2012/4/5,2.314,19.1287
2012/4/9,2.21,18.62
2012/4/10,2.164,18.2437
2012/4/11,2.206,18.4876
2012/4/12,2.22933,18.6956
2012/4/13,2.23933,18.3124
2012/4/16,2.15,18.0197
2012/4/17,2.14933,18.4946
2012/4/18,2.17733,18.5822
2012/4/19,2.21067,18.4736
2012/4/20,2.21067,18.159
2012/4/23,2.12933,17.6593
2012/4/24,2.12133,17.6125
2012/4/25,2.194,17.9341
2012/4/26,2.23267,18.2516
2012/4/27,2.22267,18.1033
2012/4/30,2.20867,17.6951
2012/5/1,2.252,17.9341
2012/5/2,2.26267,17.6424
2012/5/3,2.164,17.2113
2012/5/4,2.122,17.2043
2012/5/7,2.16467,17.2422
2012/5/8,2.01267,17.1019
2012/5/9,2.004,17.2661
2012/5/10,2.19733,17.2113
2012/5/11,2.15,16.9257
2012/5/14,2.004,16.6449
2012/5/15,1.962,16.4806
2012/5/16,1.94533,16.8569
2012/5/17,1.90467,16.627
2012/5/18,1.83733,16.2945
2012/5/21,1.918,16.5722
2012/5/22,2.05267,16.5433
2012/5/23,2.068,17.0261
2012/5/24,2.02133,16.9575
2012/5/25,1.98733,17.2661
2012/5/29,2.11267,17.5827
2012/5/30,2.02733,17.2113
2012/5/31,1.96667,17.0829
2012/6/1,1.87667,16.9346
2012/6/4,1.85867,16.2437
2012/6/5,1.86067,16.3512
2012/6/6,1.94333,16.7962
2012/6/7,1.92867,16.8121
2012/6/8,2.00533,16.9665
2012/6/11,1.94133,16.8649
2012/6/12,1.97733,17.0591
2012/6/13,1.98467,16.8261
2012/6/14,1.95933,16.7733
2012/6/15,1.994,16.7285
2012/6/18,2.12267,16.4876
2012/6/19,2.13933,16.7285
2012/6/20,2.252,16.5264
2012/6/21,2.146,15.8804
2012/6/22,2.25267,15.8514
2012/6/25,2.20733,15.3178
2012/6/26,2.10733,15.2721
2012/6/27,2.13067,15.1268
2012/6/28,2.094,15.2512
2012/6/29,2.086,15.1726
2012/7/2,2.02667,15.058
2012/7/3,2.044,15.9042
2012/7/5,2.082,15.8027
2012/7/6,2.066,15.6264
2012/7/9,2.09933,15.5588
2012/7/10,2.08467,15.2342
2012/7/11,2.10067,15.3119
2012/7/12,2.18,14.8739
2012/7/13,2.28333,15.0949
2012/7/16,2.39733,14.9107
2012/7/17,2.22333,15.081
2012/7/18,2.14333,15.4424
2012/7/19,2.15133,15.497
2012/7/20,2.11933,14.8958
2012/7/23,2.044,14.851
2012/7/24,1.98933,14.634
2012/7/25,1.93,14.4647
2012/7/26,1.87533,14.7037
2012/7/27,1.96733,15.1347
2012/7/30,1.82333,14.8958
2012/7/31,1.828,15.1666
2012/8/1,1.75,15.1268
2012/8/2,1.74,14.7256
2012/8/3,1.818,15.4184
2012/8/6,1.88467,15.2721
2012/8/7,2.01667,15.7121
2012/8/8,1.93933,15.6812
2012/8/9,1.96067,15.8893
2012/8/10,1.996,15.8027
2012/8/13,2.078,15.749
2012/8/14,1.96133,15.5498
2012/8/15,1.96,15.497
2012/8/16,2.02,16.4119
2012/8/17,2.00067,16.9346
2012/8/20,1.96733,16.8261
2012/8/21,1.94067,16.6449
2012/8/22,1.99667,16.7225
2012/8/23,2.04867,16.4189
2012/8/24,1.96667,16.2945
2012/8/27,1.888,16.3273
2012/8/28,1.91267,16.1123
2012/8/29,1.894,16.3861
2012/8/30,1.894,16.2437
2012/8/31,1.90133,16.4289
2012/9/4,1.876,16.394
2012/9/5,1.86267,16.7425
2012/9/6,1.90333,17.2751
2012/9/7,1.95667,17.9829
2012/9/10,1.82467,17.6812
2012/9/11,1.85333,17.6723
2012/9/12,1.88533,17.7957
2012/9/13,1.96533,18.1033
2012/9/14,2.026,18.5742
2012/9/17,2.16933,18.3124
2012/9/18,2.08933,18.7972
2012/9/19,2.07,19.044
2012/9/20,2.06,18.7902
2012/9/21,2.00133,19.0819
2012/9/24,2.044,18.7444
2012/9/25,1.844,18.0964
2012/9/26,1.836,17.9958
2012/9/27,1.89933,17.8345
2012/9/28,1.952,17.504
2012/10/1,1.944,17.7658
2012/10/2,1.98667,18.2198
2012/10/3,1.95333,18.7654
2012/10/4,1.96,18.9664
2012/10/5,1.926,19.0819
2012/10/8,1.95,18.9037
2012/10/9,1.89133,18.7494
2012/10/10,1.89333,18.6438
2012/10/11,1.888,18.9744
2012/10/12,1.84267,18.8052
2012/10/15,1.822,18.835
2012/10/16,1.87067,19.074
2012/10/17,1.92127,19.282
2012/10/18,1.86933,19.6653
2012/10/19,1.84933,18.9206
2012/10/22,1.85667,18.9426
2012/10/23,1.89267,18.3672
2012/10/24,1.828,18.2288
2012/10/25,1.83467,18.181
2012/10/26,1.82533,17.9122
2012/10/31,1.8754,19.6215
2012/11/1,1.94967,19.7579
2012/11/2,1.92787,19.8445
