Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/1/6,-2.757 ,-2.182 ,-3.019 ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/7,1.465 ,-0.811 ,0.013 ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/8,1.984 ,1.927 ,1.669 ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/9,0.729 ,1.145 ,0.178 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/13,-1.184 ,-0.027 ,-0.640 ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/14,-1.634 ,0.495 ,-1.707 ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/15,1.756 ,1.226 ,1.862 ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/16,-0.160 ,-0.069 ,-1.429 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/19,-0.652 ,0.975 ,0.890 ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/20,2.598 ,0.607 ,2.069 ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/21,-0.924 ,-0.261 ,-0.494 ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/22,-0.043 ,0.441 ,0.281 ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/23,1.320 ,0.890 ,1.054 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/26,0.523 ,-1.357 ,-0.247 ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/27,1.293 ,1.953 ,1.716 ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/28,-0.091 ,-1.551 ,0.154 ,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015/1/29,-1.136 ,-1.083 ,-1.065 ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015/1/30,-1.089 ,-0.776 ,0.387 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015/2/2,0.198 ,3.310 ,-0.658 ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/3,-1.437 ,-2.866 ,-1.265 ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/4,2.358 ,2.657 ,1.978 ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/5,-0.956 ,1.356 ,-0.985 ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/6,-0.406 ,1.203 ,0.822 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/9,1.010 ,0.965 ,0.359 ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/10,0.168 ,0.589 ,-0.335 ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/12,1.789 ,1.211 ,1.853 ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/13,-0.548 ,-0.193 ,-0.369 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/16,0.271 ,1.417 ,0.510 ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/17,-0.347 ,-0.126 ,-0.098 ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/18,2.012 ,0.432 ,1.179 ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/19,0.489 ,0.227 ,0.361 ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/20,1.001 ,0.165 ,0.370 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/23,0.642 ,-0.909 ,0.734 ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/24,0.876 ,-0.165 ,0.739 ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/25,-0.903 ,0.510 ,-0.098 ,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015/2/26,-0.013 ,1.370 ,1.079 ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015/2/27,-0.774 ,-1.163 ,0.065 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015/3/2,0.767 ,0.190 ,0.154 ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/3,0.138 ,1.086 ,-0.062 ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/4,-0.297 ,-0.738 ,-0.593 ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/5,-0.602 ,0.064 ,0.258 ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2015/3/6,1.574 ,2.402 ,1.169 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015/3/9,0.037 ,-0.687 ,-0.951 ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
