t,export_us,import_us,export_cn,import_cn,P_jp,P_us,P_cn,C_jp,C_us,C_cn,Y_jp,Y_us,Y_cn
1991Q1,22354486676,13312622315,1648576709,3326416540,97,62,41,1.91605E+11,1.20817E+12,,8.60973E+11,2.48798E+12,
1991Q2,20392594367,13539610102,2066463824,3069245564,98,62,42,3.66907E+11,2.42061E+12,,8.47929E+11,2.50738E+12,
1991Q3,23883516352,13298912657,2214605158,3677559900,98,63,42,5.35754E+11,3.6366E+12,,8.5644E+11,2.52005E+12,
1991Q4,25568994179,13482899039,2675311975,4174630793,99,63,43,7.08962E+11,4.85058E+12,,9.20765E+11,2.52883E+12,
1992Q1,22737379375,13544518077,2469337662,3658764404,98,64,43,8.84372E+11,6.07924E+12,,9.30702E+11,2.55911E+12,
1992Q2,22470062193,12975749244,2714118898,3958744562,100,64,44,1.06252E+12,7.3431E+12,59036916092,9.26151E+11,2.58686E+12,
1992Q3,25177939148,13209186726,3063880682,4695719303,99,65,44,1.24558E+12,8.61974E+12,1.24957E+11,9.66314E+11,2.61242E+12,
1992Q4,26330282370,12963246049,3719671518,4658710860,100,65,46,1.42912E+12,9.9285E+12,1.98016E+11,9.7668E+11,2.63966E+12,1.06169E+11
1993Q1,25548488113,13929540158,3431898499,4267533338,100,66,48,1.61359E+12,1.12451E+13,2.57395E+11,1.00697E+12,2.64407E+12,1.22738E+11
1993Q2,24911739532,14495003921,4465497408,4587545380,101,66,51,1.82163E+12,1.25946E+13,3.30423E+11,1.09535E+12,2.65946E+12,1.37224E+11
1993Q3,27839076000,13919864000,5015528000,5729774000,101,66,52,2.05389E+12,1.39639E+13,4.11687E+11,1.13894E+12,2.67215E+12,1.5323E+11
1993Q4,28598586000,13598665000,4440325000,6066624000,101,67,54,2.28634E+12,1.53874E+13,5.07405E+11,1.11975E+12,2.7085E+12,1.73916E+11
1994Q1,27848552000,15303747000,4391183000,5408431000,101,67,59,2.62809E+12,1.68196E+13,5.61274E+11,1.01385E+12,2.73478E+12,1.93964E+11
1994Q2,28050459000,15729347000,4696433000,6190814000,101,68,62,2.98821E+12,1.8292E+13,6.27465E+11,1.04296E+12,2.77184E+12,2.17207E+11
1994Q3,31128500000,16015821000,4844682000,7753734000,101,68,65,3.36373E+12,1.9795E+13,7.02365E+11,1.13152E+12,2.78804E+12,2.3602E+11
1994Q4,31665220000,16018042000,4754253000,8216105000,102,69,69,3.73722E+12,2.1332E+13,7.89983E+11,1.18956E+12,2.81998E+12,2.49609E+11
1995Q1,30451711000,17142097000,4427251000,7382315000,101,69,72,4.11795E+12,2.29053E+13,8.61779E+11,1.14821E+12,2.82999E+12,2.62712E+11
1995Q2,31865424000,19638048000,5456401000,8713162000,101,70,74,4.56141E+12,2.4486E+13,9.49312E+11,1.31297E+12,2.83843E+12,2.78786E+11
1995Q3,30489200000,19098290000,5474315000,9792139000,101,70,74,4.96989E+12,2.6085E+13,1.04658E+12,1.22478E+12,2.86258E+12,3.03988E+11
1995Q4,29227495000,20001430000,6575642000,10034547000,101,70,76,5.3529E+12,2.7708E+13,1.15753E+12,1.19902E+12,2.88202E+12,3.3663E+11
1996Q1,28412759000,19975030000,4721427000,8783191000,101,71,79,5.72595E+12,2.93733E+13,1.24544E+12,1.08166E+12,2.9036E+12,3.70029E+11
1996Q2,26854905004,20797109661,4970332416,9475024391,101,72,80,6.0989E+12,3.10789E+13,1.3484E+12,1.0646E+12,2.95204E+12,3.97101E+11
1996Q3,28532405007,19854732732,5132641020,11061484485,101,72,80,6.46788E+12,3.28232E+13,1.46035E+12,1.08498E+12,2.97852E+12,4.22674E+11
1996Q4,29374135158,19269805322,7002132706,11085121611,102,73,82,6.8243E+12,3.45928E+13,1.58947E+12,1.11231E+12,3.00944E+12,4.57514E+11
1997Q1,28770578086,19654968391,4289157535,9791176989,101,73,83,7.15425E+12,3.63848E+13,1.69007E+12,9.70168E+11,3.02887E+12,4.94799E+11
1997Q2,29254927370,19434540221,5616714195,10195852411,104,73,83,7.48496E+12,3.82106E+13,1.8056E+12,9.66737E+11,3.07931E+12,5.35494E+11
1997Q3,29966034103,18904271284,5346546684,11223049039,104,74,82,7.81658E+12,4.00994E+13,1.92926E+12,1.01059E+12,3.11775E+12,5.76157E+11
1997Q4,30391324009,17980797522,6439239072,10617396063,104,74,82,8.1256E+12,4.19979E+13,2.07031E+12,9.97211E+11,3.14437E+12,6.20084E+11
1998Q1,30128961508,18675335782,4582229380,9126907637,103,74,83,8.41902E+12,4.39364E+13,2.17931E+12,9.02424E+11,3.17594E+12,6.66811E+11
1998Q2,28661623264,16744704168,5046436164,8606864447,104,75,82,8.69155E+12,4.59359E+13,2.30189E+12,8.41847E+11,3.20533E+12,7.10903E+11
1998Q3,29636704345,16183906675,4813493716,9426906225,103,75,81,8.95612E+12,4.79793E+13,2.43339E+12,8.39052E+11,3.24569E+12,7.64052E+11
1998Q4,31289439443,15914260438,5740246952,9918297218,104,75,81,9.26543E+12,5.00658E+13,2.58484E+12,1.03405E+12,3.29792E+12,8.26561E+11
1999Q1,30473602442,17805932989,5132159594,9203050597,103,75,82,9.57731E+12,5.21925E+13,2.70178E+12,9.85541E+11,3.3289E+12,8.96531E+11
1999Q2,30599172198,15818452508,5506664884,9838765680,104,76,80,9.87899E+12,5.43682E+13,2.83204E+12,9.43796E+11,3.35669E+12,9.70632E+11
1999Q3,33860905234,15838982625,6027868665,11387564055,103,77,80,1.01964E+13,5.65915E+13,2.97128E+12,1.03639E+12,3.40119E+12,1.03723E+12
1999Q4,35261419063,18065140430,6783379693,12640632461,103,77,81,1.05402E+13,5.88446E+13,3.13185E+12,1.17558E+12,3.457E+12,1.10655E+12
2000Q1,34755213105,17205070828,6144217975,12105921925,103,78,82,1.08786E+13,6.11683E+13,3.26067E+12,1.10725E+12,3.46954E+12,1.21255E+12
2000Q2,35723165757,18238402277,7361594609,13134153022,103,79,80,1.12137E+13,6.35395E+13,3.40589E+12,1.10125E+12,3.53273E+12,1.34314E+12
2000Q3,36220353065,18086463838,8110628893,14372262003,103,79,80,1.15493E+13,6.59284E+13,3.56117E+12,1.12045E+12,3.53633E+12,1.48637E+12
2000Q4,37310697259,18984020994,8739718870,15543519706,103,80,82,1.18804E+13,6.83355E+13,3.73751E+12,1.14861E+12,3.55744E+12,1.61184E+12
2001Q1,33044499926,17501768048,7544480155,13853305446,102,81,82,1.21903E+13,7.07383E+13,3.88301E+12,1.02932E+12,3.54578E+12,1.79707E+12
2001Q2,30344154087,16732134033,7904017025,14052830141,102,81,82,1.2475E+13,7.31419E+13,4.04446E+12,9.67355E+11,3.56792E+12,1.95925E+12
2001Q3,30243858782,14799719191,7553433329,14502766360,102,82,81,1.27567E+13,7.55204E+13,4.21562E+12,9.87812E+11,3.55363E+12,2.13395E+12
2001Q4,29068119806,14678998897,7946220045,15371248759,101,81,81,1.3024E+13,7.78755E+13,4.40722E+12,1.00315E+12,3.56339E+12,2.31365E+12
2002Q1,28607315155,13965941196,7670806283,13333866668,101,82,82,1.32718E+13,8.02226E+13,4.56606E+12,8.99757E+11,3.5932E+12,2.53025E+12
2002Q2,29255925207,15055843392,9661375727,14682921513,101,82,81,1.35248E+13,8.25732E+13,4.74242E+12,9.31088E+11,3.61521E+12,2.77896E+12
2002Q3,30594108968,15338702150,10921105309,16182325687,101,83,80,1.37953E+13,8.4928E+13,4.93125E+12,1.01882E+12,3.62991E+12,3.07304E+12
2002Q4,31740400681,14228429219,11704280854,17592645266,101,83,81,1.40554E+13,8.7292E+13,5.14249E+12,1.02379E+12,3.6344E+12,3.39141E+12
