t,export_us,import_us,P_us,P_cn,C_jp,C_us,C_cn,Y_us,Y_cn
1991Q1,2076582000 ,1642383000 ,62,41,1.91605E+11,1.20817E+12,,2.48798E+12,
1991Q2,2209265000 ,2376485000 ,62,42,3.66907E+11,2.42061E+12,,2.50738E+12,
1991Q3,2632565000 ,2548268000 ,63,42,5.35754E+11,3.6366E+12,,2.52005E+12,
1991Q4,3333415000 ,3464585000 ,63,43,7.08962E+11,4.85058E+12,,2.52883E+12,
1992Q1,2139819000 ,2263767000 ,64,43,8.84372E+11,6.07924E+12,,2.55911E+12,
1992Q2,2701320000 ,3106467000 ,64,44,1.06252E+12,7.3431E+12,59036916092,2.58686E+12,
1992Q3,3021442000 ,3294045000 ,65,44,1.24558E+12,8.61974E+12,1.24957E+11,2.61242E+12,
1992Q4,3836728000 ,5021312000 ,65,46,1.42912E+12,9.9285E+12,1.98016E+11,2.63966E+12,1.06169E+11
1993Q1,2581209000 ,3506260000 ,66,48,1.61359E+12,1.12451E+13,2.57395E+11,2.64407E+12,1.22738E+11
1993Q2,3326643000 ,5134327000 ,66,51,1.82163E+12,1.25946E+13,3.30423E+11,2.65946E+12,1.37224E+11
1993Q3,4085214000 ,6416943000 ,66,52,2.05389E+12,1.39639E+13,4.11687E+11,2.67215E+12,1.5323E+11
1993Q4,5789198000 ,8245013000 ,67,54,2.28634E+12,1.53874E+13,5.07405E+11,2.7085E+12,1.73916E+11
1994Q1,3355114000 ,4736451000 ,67,59,2.62809E+12,1.68196E+13,5.61274E+11,2.73478E+12,1.93964E+11
1994Q2,4682484000 ,6370369000 ,68,62,2.98821E+12,1.8292E+13,6.27465E+11,2.77184E+12,2.17207E+11
1994Q3,5391911000 ,6746274000 ,68,65,3.36373E+12,1.9795E+13,7.02365E+11,2.78804E+12,2.3602E+11
1994Q4,8060317000 ,8465779000 ,69,69,3.73722E+12,2.1332E+13,7.89983E+11,2.81998E+12,2.49609E+11
1995Q1,5549959000 ,5353524000 ,69,72,4.11795E+12,2.29053E+13,8.61779E+11,2.82999E+12,2.62712E+11
1995Q2,6769777000 ,6887565000 ,70,74,4.56141E+12,2.4486E+13,9.49312E+11,2.83843E+12,2.78786E+11
1995Q3,7630053000 ,7644006000 ,70,74,4.96989E+12,2.6085E+13,1.04658E+12,2.86258E+12,3.03988E+11
1995Q4,8516644000 ,9122170000 ,70,76,5.3529E+12,2.7708E+13,1.15753E+12,2.88202E+12,3.3663E+11
1996Q1,6056060000 ,6372632000 ,71,79,5.72595E+12,2.93733E+13,1.24544E+12,2.9036E+12,3.70029E+11
1996Q2,7324177000 ,6810889000 ,72,80,6.0989E+12,3.10789E+13,1.3484E+12,2.95204E+12,3.97101E+11
1996Q3,8063612000 ,6648279000 ,72,80,6.46788E+12,3.28232E+13,1.46035E+12,2.97852E+12,4.22674E+11
1996Q4,9444416000 ,9358373000 ,73,82,6.8243E+12,3.45928E+13,1.58947E+12,3.00944E+12,4.57514E+11
1997Q1,6678713000 ,5755750000 ,73,83,7.15425E+12,3.63848E+13,1.69007E+12,3.02887E+12,4.94799E+11
1997Q2,7607309000 ,6927939000 ,73,83,7.48496E+12,3.82106E+13,1.8056E+12,3.07931E+12,5.35494E+11
1997Q3,8294685000 ,7301230000 ,74,82,7.81658E+12,4.00994E+13,1.92926E+12,3.11775E+12,5.76157E+11
1997Q4,9239098000 ,9004635000 ,74,82,8.1256E+12,4.19979E+13,2.07031E+12,3.14437E+12,6.20084E+11
1998Q1,6555865000 ,5974397000 ,74,83,8.41902E+12,4.39364E+13,2.17931E+12,3.17594E+12,6.66811E+11
1998Q2,7037294000 ,7020775000 ,75,82,8.69155E+12,4.59359E+13,2.30189E+12,3.20533E+12,7.10903E+11
1998Q3,7467360000 ,6772081000 ,75,81,8.95612E+12,4.79793E+13,2.43339E+12,3.24569E+12,7.64052E+11
1998Q4,8657563000 ,8539510000 ,75,81,9.26543E+12,5.00658E+13,2.58484E+12,3.29792E+12,8.26561E+11
1999Q1,6594830000 ,6655278000 ,75,82,9.57731E+12,5.21925E+13,2.70178E+12,3.3289E+12,8.96531E+11
1999Q2,7342169819 ,8226846092 ,76,80,9.87899E+12,5.43682E+13,2.83204E+12,3.35669E+12,9.70632E+11
1999Q3,8466219000 ,8454932000 ,77,80,1.01964E+13,5.65915E+13,2.97128E+12,3.40119E+12,1.03723E+12
1999Q4,9995855181 ,10431191908 ,77,81,1.05402E+13,5.88446E+13,3.13185E+12,3.457E+12,1.10655E+12
2000Q1,8585187000 ,8834491000 ,78,82,1.08786E+13,6.11683E+13,3.26067E+12,3.46954E+12,1.21255E+12
2000Q2,10202213000 ,10271953000 ,79,80,1.12137E+13,6.35395E+13,3.40589E+12,3.53273E+12,1.34314E+12
2000Q3,10943542000 ,10912543000 ,79,80,1.15493E+13,6.59284E+13,3.56117E+12,3.53633E+12,1.48637E+12
2000Q4,11880104000 ,11501285000 ,80,82,1.18804E+13,6.83355E+13,3.73751E+12,3.55744E+12,1.61184E+12
2001Q1,10555968000 ,9995205000 ,81,82,1.21903E+13,7.07383E+13,3.88301E+12,3.54578E+12,1.79707E+12
2001Q2,10955136000 ,11033485000 ,81,82,1.2475E+13,7.31419E+13,4.04446E+12,3.56792E+12,1.95925E+12
2001Q3,11351071000 ,10967833000 ,82,81,1.27567E+13,7.55204E+13,4.21562E+12,3.55363E+12,2.13395E+12
2001Q4,12216002000 ,10813741000 ,81,81,1.3024E+13,7.78755E+13,4.40722E+12,3.56339E+12,2.31365E+12
2002Q1,10285482000 ,10126462000 ,82,82,1.32718E+13,8.02226E+13,4.56606E+12,3.5932E+12,2.53025E+12
2002Q2,11376847000 ,13023923000 ,82,81,1.35248E+13,8.25732E+13,4.74242E+12,3.61521E+12,2.77896E+12
2002Q3,12719604000 ,15387656000 ,83,80,1.37953E+13,8.4928E+13,4.93125E+12,3.62991E+12,3.07304E+12
2002Q4,14101097000 ,14950996000 ,83,81,1.40554E+13,8.7292E+13,5.14249E+12,3.6344E+12,3.39141E+12
2003Q1,12698715000 ,15743354000 ,84,82,1.43206E+13,8.96833E+13,5.32266E+12,3.65354E+12,3.80278E+12
2003Q2,14410942000 ,18069234000 ,84,81,1.45885E+13,9.21204E+13,5.51921E+12,3.68589E+12,4.19189E+12
2003Q3,15068779000 ,20039245000 ,85,81,1.48545E+13,9.46334E+13,5.7324E+12,3.7472E+12,4.6671E+12
2003Q4,17275554000 ,20352241000 ,85,83,1.51457E+13,9.72007E+13,5.97263E+12,3.79069E+12,5.14595E+12
2004Q1,15678774153 ,21132401914 ,85,85,1.54374E+13,9.97831E+13,6.18131E+12,3.81217E+12,5.76157E+12
