t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_in,C_us,C_cn,C_in,Y_us,Y_cn
1991Q1,730573248.7,617295036.2,6679652.467,6752835.35,62,41,24.84858929,1.21E+12,,5208237105,2.49E+12,
1991Q2,722832071.2,447845243,11377675.83,5651131.892,62,42,25.25931028,2.42E+12,,19932848625,2.51E+12,
1991Q3,750965616.2,377721442.3,13107262.43,3761510.216,63,42,26.77897679,3.64E+12,,33114637853,2.52E+12,
1991Q4,717898063.9,448327278.6,17106409.27,4800522.542,63,43,27.64148934,4.85E+12,,47272593208,2.53E+12,
1992Q1,824321034.7,483428424,14043772.63,4373029.13,64,43,28.17542397,6.08E+12,,63085825038,2.56E+12,
1992Q2,839911085.4,580464194.7,16687678.64,18412398.61,64,44,28.79150734,7.34E+12,59036916092,78067588887,2.59E+12,
1992Q3,977393897.3,647258323.7,29642796.45,28992429.51,65,44,29.85937849,8.62E+12,1.25E+11,93910567999,2.61E+12,
1992Q4,891614225.2,547102567.5,33757204.01,42033995.15,65,46,30.0236684,9.93E+12,1.98E+11,1.11446E+11,2.64E+12,1.06E+11
1993Q1,1084852133,505529919,68733246.03,45518526.93,66,48,29.77723733,1.12E+13,2.57E+11,1.28074E+11,2.64E+12,1.23E+11
1993Q2,897183641.7,551328470.5,104471639,50134804.61,66,51,30.43438749,1.26E+13,3.30E+11,1.43877E+11,2.66E+12,1.37E+11
1993Q3,989448533.5,569294393.2,58319340.7,70525570.37,66,52,31.54333302,1.40E+13,4.12E+11,1.60818E+11,2.67E+12,1.53E+11
1993Q4,913593274.6,544507462.8,54604591.29,92428833.3,67,54,32.48799053,1.54E+13,5.07E+11,1.79062E+11,2.71E+12,1.74E+11
1994Q1,1120894731,522044315.4,51910072.97,92900417.64,67,59,32.65228044,1.68E+13,5.61E+11,1.98571E+11,2.73E+12,1.94E+11
1994Q2,1010486267,457142181.3,79457271.57,134754928.6,68,62,33.59693605,1.83E+13,6.27E+11,2.16754E+11,2.77E+12,2.17E+11
1994Q3,1264753802,749463825.8,34494033.72,191150123.8,68,65,35.0344576,1.98E+13,7.02E+11,2.36583E+11,2.79E+12,2.36E+11
1994Q4,1264368776,703090996.9,48686406.82,203553797.3,69,69,35.69161156,2.13E+13,7.90E+11,2.55993E+11,2.82E+12,2.50E+11
1995Q1,1325160000,681690000,86610000,200950000,69,72,35.85589957,2.29E+13,8.62E+11,2.77354E+11,2.83E+12,2.63E+11
1995Q2,1262190000,801640000,62350000,200980000,70,74,37.00591568,2.45E+13,9.49E+11,2.97596E+11,2.84E+12,2.79E+11
1995Q3,1428490000,940940000,62170000,205150000,70,74,38.81308764,2.61E+13,1.05E+12,3.18311E+11,2.86E+12,3.04E+11
1995Q4,1288810000,919640000,71790000,204390000,70,76,39.30594979,2.77E+13,1.16E+12,3.38854E+11,2.88E+12,3.37E+11
1996Q1,1458089862,830849289,124808561.2,185891588,71,79,39.01844813,2.94E+13,1.25E+12,3.65249E+11,2.90E+12,3.70E+11
1996Q2,1504077367,811523734.4,130786600.5,201151304.2,72,80,40.45596968,3.11E+13,1.35E+12,3.89115E+11,2.95E+12,3.97E+11
1996Q3,1642126066,744834160,99808592.68,164355172.9,72,80,42.13992421,3.28E+13,1.46E+12,4.13434E+11,2.98E+12,4.23E+11
1996Q4,1580198490,799650711.8,187075329.3,150678970.6,73,82,42.9202918,3.46E+13,1.59E+12,4.38446E+11,3.01E+12,4.58E+11
1997Q1,1720713774,902960785.8,179181488.4,251338903.1,73,83,43.16672477,3.64E+13,1.69E+12,4.64585E+11,3.03E+12,4.95E+11
1997Q2,1557338260,811552610.8,119235543,247569556.7,73,83,43.57744387,3.82E+13,1.81E+12,4.90787E+11,3.08E+12,5.35E+11
1997Q3,1688947017,877575696.1,103502114.5,278530602.2,74,82,44.2756684,4.01E+13,1.93E+12,5.17204E+11,3.12E+12,5.76E+11
1997Q4,1472544314,839784445,243247439.6,284509986.6,74,82,45.30247276,4.20E+13,2.07E+12,5.4359E+11,3.14E+12,6.20E+11
1998Q1,1706854916,881548004,242393729,281869328.9,74,83,47.06856845,4.39E+13,2.18E+12,5.69304E+11,3.18E+12,6.67E+11
1998Q2,1752800870,855647218.5,102109272.8,275184796.6,75,82,48.09536902,4.59E+13,2.30E+12,5.95154E+11,3.21E+12,7.11E+11
1998Q3,2010775586,973408768.6,68208083.94,250095966.8,75,81,51.09362956,4.80E+13,2.43E+12,6.20652E+11,3.25E+12,7.64E+11
1998Q4,1632318629,948996008.9,87188914.24,295199907.7,75,81,53.39366367,5.01E+13,2.58E+12,6.47047E+11,3.30E+12,8.27E+11
1999Q1,1922009161,923304936.3,127557981.4,281539357.7,75,82,51.29898816,5.22E+13,2.70E+12,6.74082E+11,3.33E+12,8.97E+11
1999Q2,1867745631,820020639.8,115553360.7,296905870.9,76,80,51.50435054,5.44E+13,2.83E+12,7.02479E+11,3.36E+12,9.71E+11
1999Q3,2280502900,961804475.4,132336313.8,334025736.1,77,80,52.53115111,5.66E+13,2.97E+12,7.31172E+11,3.40E+12,1.04E+12
1999Q4,2029692308,877769948.5,135602344.1,327554035.4,77,81,53.64009474,5.88E+13,3.13E+12,7.60252E+11,3.46E+12,1.11E+12
2000Q1,2360942312,925482265,156217810,320761480,78,82,53.18830317,6.12E+13,3.26E+12,7.90564E+11,3.47E+12,1.21E+12
2000Q2,2321069549,781561598,188582221,346534870,79,80,54.21510564,6.35E+13,3.41E+12,8.1997E+11,3.53E+12,1.34E+12
2000Q3,2332405187,703588302,213416148,364629800,79,80,54.70796968,6.59E+13,3.56E+12,8.48821E+11,3.54E+12,1.49E+12
2000Q4,2068832950,741617835,200008821,416673850,80,82,55.2419081,6.83E+13,3.74E+12,8.77477E+11,3.56E+12,1.61E+12
2001Q1,2207694340,724873626,216888133,418238974,81,82,54.74904027,7.07E+13,3.88E+12,9.06266E+11,3.55E+12,1.80E+12
2001Q2,1950512553,739035871,201561174,433530813,81,82,55.69369967,7.31E+13,4.04E+12,9.37245E+11,3.57E+12,1.96E+12
2001Q3,2134232032,785337247,240973889,467689354,82,81,57.25443865,7.55E+13,4.22E+12,9.67737E+11,3.55E+12,2.13E+12
2001Q4,2026408055,809638117,256146563,489693330,81,81,57.87052582,7.79E+13,4.41E+12,9.99301E+11,3.56E+12,2.31E+12
2002Q1,2441598176,876939973,349325026,536946257,82,82,57.54194221,8.02E+13,4.57E+12,1.03105E+12,3.59E+12,2.53E+12
2002Q2,2497910320,1002485176,395382332,620870834,82,81,58.19910943,8.26E+13,4.74E+12,1.06241E+12,3.62E+12,2.78E+12
