t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_id,C_us,C_cn,C_id,Y_us,Y_cn
1991Q1,799143531.9,856274575.8,148664447.6,279529123,62,41,13,1.21E+12,,12092922525,2.49E+12,
1991Q2,799878029.8,792215994.8,190879439.4,312614995.2,62,42,14,2.42E+12,,22872095175,2.51E+12,
1991Q3,890930304.6,777479695.4,217213611.8,240163817.5,63,42,14,3.64E+12,,33872579535,2.52E+12,
1991Q4,1018550231,970916942,278240310.2,358588735.3,63,43,14,4.85E+12,,45722372808,2.53E+12,
1992Q1,1188783364,809231082,173605195,489260238,64,43,15,6.08E+12,,56581536652,2.56E+12,
1992Q2,1091680648,1021580802,183516439.7,376959740,64,44,15,7.34E+12,59036916092,68098046618,2.59E+12,
1992Q3,1105120854,998525290,193662924,270555696,65,44,15,8.62E+12,1.25E+11,80054174525,2.61E+12,
1992Q4,1033520596,993102579,200732706.3,269338889,65,46,15,9.93E+12,1.98E+11,92773321686,2.64E+12,1.06E+11
1993Q1,1155514232,864232663,166999869,326928005,66,48,16,1.12E+13,2.57E+11,1.04802E+11,2.64E+12,1.23E+11
1993Q2,1252016995,750120208.4,230648805,312551215,66,51,16,1.26E+13,3.30E+11,1.16726E+11,2.66E+12,1.37E+11
1993Q3,1320063670,797896385,237102389,219609152,66,52,16,1.40E+13,4.12E+11,1.29787E+11,2.67E+12,1.53E+11
1993Q4,1502202117,842273111.6,301232383,390405784,67,54,17,1.54E+13,5.07E+11,1.443E+11,2.71E+12,1.74E+11
1994Q1,1180330000,844159355.2,218244277.1,323989000,67,59,17,1.68E+13,5.61E+11,1.57248E+11,2.73E+12,1.94E+11
1994Q2,1540486000,944460501.8,308280445.2,317219000,68,62,17,1.83E+13,6.27E+11,1.71838E+11,2.77E+12,2.17E+11
1994Q3,1534279721,1009727000,439855000,258458889.5,68,65,18,1.98E+13,7.02E+11,1.86819E+11,2.79E+12,2.36E+11
1994Q4,1573468279,789502143.1,402647277.7,422008110.5,69,69,18,2.13E+13,7.90E+11,2.04779E+11,2.82E+12,2.50E+11
1995Q1,1421190000,1039266146,303457217.9,398504000,69,72,19,2.29E+13,8.62E+11,2.21189E+11,2.83E+12,2.63E+11
1995Q2,1655126000,1009433000,326645000,410269000,70,74,19,2.45E+13,9.49E+11,2.38026E+11,2.84E+12,2.79E+11
1995Q3,1668891000,1371520000,413503000,399786000,70,74,20,2.61E+13,1.05E+12,2.56793E+11,2.86E+12,3.04E+11
1995Q4,1576507000,1335688854,451617782.1,533159000,70,76,20,2.77E+13,1.16E+12,2.7606E+11,2.88E+12,3.37E+11
1996Q1,1394252000,1145866698,365811760.3,380885000,71,79,21,2.94E+13,1.25E+12,2.93619E+11,2.90E+12,3.70E+11
1996Q2,1619709732,1321958000,366445000,516045108.3,72,80,21,3.11E+13,1.35E+12,3.12479E+11,2.95E+12,3.97E+11
1996Q3,1880364000,1351887000,427177000,430503000,72,80,21,3.28E+13,1.46E+12,3.3548E+11,2.98E+12,4.23E+11
1996Q4,1900333268,1240100302,438126239.7,730038891.7,73,82,21,3.46E+13,1.59E+12,3.59565E+11,3.01E+12,4.58E+11
