t,export_us,import_us,export_cn,import_cn,P_jp,P_us,P_cn,C_jp,C_us,C_cn,Y_jp,Y_us,Y_cn
1991Q1,22354486676,13312622315,1648576709,3326416540,97,62,41,1.92E+11,1.21E+12,,8.61E+11,2.49E+12,
1991Q2,20392594367,13539610102,2066463824,3069245564,98,62,42,3.67E+11,2.42E+12,,8.48E+11,2.51E+12,
1991Q3,23883516352,13298912657,2214605158,3677559900,98,63,42,5.36E+11,3.64E+12,,8.56E+11,2.52E+12,
1991Q4,25568994179,13482899039,2675311975,4174630793,99,63,43,7.09E+11,4.85E+12,,9.21E+11,2.53E+12,
1992Q1,22737379375,13544518077,2469337662,3658764404,98,64,43,8.84E+11,6.08E+12,,9.31E+11,2.56E+12,
1992Q2,22470062193,12975749244,2714118898,3958744562,100,64,44,1.06E+12,7.34E+12,59036916092,9.26E+11,2.59E+12,
1992Q3,25177939148,13209186726,3063880682,4695719303,99,65,44,1.25E+12,8.62E+12,1.25E+11,9.66E+11,2.61E+12,
1992Q4,26330282370,12963246049,3719671518,4658710860,100,65,46,1.43E+12,9.93E+12,1.98E+11,9.77E+11,2.64E+12,1.06E+11
1993Q1,25548488113,13929540158,3431898499,4267533338,100,66,48,1.61E+12,1.12E+13,2.57E+11,1.01E+12,2.64E+12,1.23E+11
1993Q2,24911739532,14495003921,4465497408,4587545380,101,66,51,1.82E+12,1.26E+13,3.30E+11,1.10E+12,2.66E+12,1.37E+11
1993Q3,27839076000,13919864000,5015528000,5729774000,101,66,52,2.05E+12,1.40E+13,4.12E+11,1.14E+12,2.67E+12,1.53E+11
1993Q4,28598586000,13598665000,4440325000,6066624000,101,67,54,2.29E+12,1.54E+13,5.07E+11,1.12E+12,2.71E+12,1.74E+11
1994Q1,27848552000,15303747000,4391183000,5408431000,101,67,59,2.63E+12,1.68E+13,5.61E+11,1.01E+12,2.73E+12,1.94E+11
1994Q2,28050459000,15729347000,4696433000,6190814000,101,68,62,2.99E+12,1.83E+13,6.27E+11,1.04E+12,2.77E+12,2.17E+11
1994Q3,31128500000,16015821000,4844682000,7753734000,101,68,65,3.36E+12,1.98E+13,7.02E+11,1.13E+12,2.79E+12,2.36E+11
1994Q4,31665220000,16018042000,4754253000,8216105000,102,69,69,3.74E+12,2.13E+13,7.90E+11,1.19E+12,2.82E+12,2.50E+11
1995Q1,30451711000,17142097000,4427251000,7382315000,101,69,72,4.12E+12,2.29E+13,8.62E+11,1.15E+12,2.83E+12,2.63E+11
1995Q2,31865424000,19638048000,5456401000,8713162000,101,70,74,4.56E+12,2.45E+13,9.49E+11,1.31E+12,2.84E+12,2.79E+11
1995Q3,30489200000,19098290000,5474315000,9792139000,101,70,74,4.97E+12,2.61E+13,1.05E+12,1.22E+12,2.86E+12,3.04E+11
1995Q4,29227495000,20001430000,6575642000,10034547000,101,70,76,5.35E+12,2.77E+13,1.16E+12,1.20E+12,2.88E+12,3.37E+11
1996Q1,28412759000,19975030000,4721427000,8783191000,101,71,79,5.73E+12,2.94E+13,1.25E+12,1.08E+12,2.90E+12,3.70E+11
1996Q2,26854905004,20797109661,4970332416,9475024391,101,72,80,6.10E+12,3.11E+13,1.35E+12,1.06E+12,2.95E+12,3.97E+11
1996Q3,28532405007,19854732732,5132641020,11061484485,101,72,80,6.47E+12,3.28E+13,1.46E+12,1.08E+12,2.98E+12,4.23E+11
1996Q4,29374135158,19269805322,7002132706,11085121611,102,73,82,6.82E+12,3.46E+13,1.59E+12,1.11E+12,3.01E+12,4.58E+11
1997Q1,28770578086,19654968391,4289157535,9791176989,101,73,83,7.15E+12,3.64E+13,1.69E+12,9.70E+11,3.03E+12,4.95E+11
1997Q2,29254927370,19434540221,5616714195,10195852411,104,73,83,7.48E+12,3.82E+13,1.81E+12,9.67E+11,3.08E+12,5.35E+11
1997Q3,29966034103,18904271284,5346546684,11223049039,104,74,82,7.82E+12,4.01E+13,1.93E+12,1.01E+12,3.12E+12,5.76E+11
1997Q4,30391324009,17980797522,6439239072,10617396063,104,74,82,8.13E+12,4.20E+13,2.07E+12,9.97E+11,3.14E+12,6.20E+11
1998Q1,30128961508,18675335782,4582229380,9126907637,103,74,83,8.42E+12,4.39E+13,2.18E+12,9.02E+11,3.18E+12,6.67E+11
