t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_kr,C_us,C_cn,C_kr,Y_us,Y_cn
1991Q1,3829769000,4460960000,505265544,1734035688,62,41,47,1.21E+12,,29428636099,2.49E+12,
1991Q2,5050987000,5097292000,721807920,2477193840,62,42,48,2.42E+12,,63690439976,2.51E+12,
1991Q3,4658699000,4649415000,802008800,2752437600,63,42,49,3.64E+12,,96998619736,2.52E+12,
1991Q4,5068154000,4696168000,3440547000,1002511000,63,43,50,4.85E+12,,1.33E+11,2.53E+12,
1992Q1,4200596997,5082885870,747336747.1,313200223.3,64,43,51,6.08E+12,,1.62E+11,2.56E+12,
1992Q2,4442277472,4681068296,995617730.6,574027191.2,64,44,52,7.34E+12,59036916092,1.97E+11,2.59E+12,
1992Q3,4943103001,4148024541,855690070,689680875.2,65,44,52,8.62E+12,1.25E+11,2.30E+11,2.61E+12,
1992Q4,4571222529,4407221293,1126155452,1077491710,65,46,52,9.93E+12,1.98E+11,2.64E+11,2.64E+12,1.06E+11
1993Q1,4208922000,4435517000,809557000,1065541000,66,48,53,1.12E+13,2.57E+11,2.92E+11,2.64E+12,1.23E+11
1993Q2,4834682000,4388238000,1012875000,1318209000,66,51,54,1.26E+13,3.30E+11,3.30E+11,2.66E+12,1.37E+11
1993Q3,4671944000,4496741000,1022116000,1273126000,66,52,55,1.40E+13,4.12E+11,3.68E+11,2.67E+12,1.53E+11
1993Q4,4504052000,4631504000,1084252000,1493524000,67,54,55,1.54E+13,5.07E+11,4.07E+11,2.71E+12,1.74E+11
1994Q1,4419450643,4810556736,810741170.6,1054740481,67,59,57,1.68E+13,5.61E+11,4.41E+11,2.73E+12,1.94E+11
1994Q2,4998251132,4843624746,1449401595,1589866989,68,62,57,1.83E+13,6.27E+11,4.83E+11,2.77E+12,2.17E+11
1994Q3,5642491844,5733106283,1329325171,1528815307,68,65,58,1.98E+13,7.02E+11,5.27E+11,2.79E+12,2.36E+11
1994Q4,5643406382,6212712236,1872932063,2029377223,69,69,58,2.13E+13,7.90E+11,5.76E+11,2.82E+12,2.50E+11
1995Q1,5264190663,7313316046,1468111021,1553765590,69,72,59,2.29E+13,8.62E+11,6.18E+11,2.83E+12,2.63E+11
1995Q2,5773757825,7597608399,1839439166,2269449010,70,74,60,2.45E+13,9.49E+11,6.72E+11,2.84E+12,2.79E+11
1995Q3,6652443311,7617119832,1752621256,2340218023,70,74,61,2.61E+13,1.05E+12,7.29E+11,2.86E+12,3.04E+11
1995Q4,6654008201,7891955724,2341428557,2980567376,70,76,61,2.77E+13,1.16E+12,7.87E+11,2.88E+12,3.37E+11
1996Q1,5978624677,7935175942,1527354852,2322945400,71,79,62,2.94E+13,1.25E+12,8.34E+11,2.90E+12,3.70E+11
1996Q2,5343758129,8512056289,2074906318,2804620960,72,80,63,3.11E+13,1.35E+12,8.93E+11,2.95E+12,3.97E+11
