t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_ph,C_us,C_cn,C_ph,Y_us,Y_cn
1991Q1,679086284,653143582,40795001,32470783,62,41,33,1.21E+12,,2217107143,2.49E+12,
1991Q2,763963140,636930678,48843941,30224263,62,42,34,2.42E+12,,4410183051,2.51E+12,
1991Q3,846680020,583728040,62809123,36936218,63,42,35,3.64E+12,,6543822156,2.52E+12,
1991Q4,833439049,654865290,90296390,28034617,63,43,35,4.85E+12,,9111673947,2.53E+12,
1992Q1,823477000,562563000,61024000,33300000,64,43,36,6.08E+12,,11590301635,2.56E+12,
1992Q2,891328000,650365000,54699000,41535000,64,44,37,7.34E+12,59036916092,14293320601,2.59E+12,
1992Q3,1090579000,662385000,39160000,24007000,65,44,38,8.62E+12,1.25E+11,17246237084,2.61E+12,
1992Q4,1037794000,750235000,28862000,14982000,65,46,38,9.93E+12,1.98E+11,20212852269,2.64E+12,1.06E+11
1993Q1,911766000,729570000,36667000,48871000,66,48,39,1.12E+13,2.57E+11,23123030632,2.64E+12,1.23E+11
1993Q2,1037013000,756573000,38331000,36906000,66,51,39,1.26E+13,3.30E+11,26414557546,2.66E+12,1.37E+11
1993Q3,1207323000,800203000,53955000,38239000,66,52,40,1.40E+13,4.12E+11,29608760867,2.67E+12,1.53E+11
1993Q4,1185439000,1245476000,53290000,42916000,67,54,41,1.54E+13,5.07E+11,33105790320,2.71E+12,1.74E+11
1994Q1,1103392000,942547000,51034000,44876000,67,59,43,1.68E+13,5.61E+11,36302444048,2.73E+12,1.94E+11
1994Q2,1219587000,1035989000,80857000,31909000,68,62,43,1.83E+13,6.27E+11,40298378250,2.77E+12,2.17E+11
1994Q3,1431849000,1111149000,88260000,39043000,68,65,44,1.98E+13,7.02E+11,43911937581,2.79E+12,2.36E+11
1994Q4,1423466000,1072401000,100126000,48112000,69,69,44,2.13E+13,7.90E+11,48315380198,2.82E+12,2.50E+11
1995Q1,1318952000,1071824000,107194000,49996000,69,72,45,2.29E+13,8.62E+11,52252593397,2.83E+12,2.63E+11
1995Q2,1483299000,1274030000,180165000,45519000,70,74,46,2.45E+13,9.49E+11,56184904780,2.84E+12,2.79E+11
1995Q3,1759283000,1342624000,189592000,46753000,70,74,47,2.61E+13,1.05E+12,60096239973,2.86E+12,3.04E+11
1995Q4,1655484000,1536645000,183424000,66665000,70,76,48,2.77E+13,1.16E+12,64761685443,2.88E+12,3.37E+11
1996Q1,1558420000,1465726000,176720000,78010000,71,79,49,2.94E+13,1.25E+12,69212711329,2.90E+12,3.70E+11
1996Q2,1692221000,1709604000,206127000,80870000,72,80,50,3.11E+13,1.35E+12,74009847276,2.95E+12,3.97E+11
1996Q3,1898921000,1824404000,163100000,69995000,72,80,50,3.28E+13,1.46E+12,78751086809,2.98E+12,4.23E+11
1996Q4,1816438000,1243266000,143578000,99125000,73,82,51,3.46E+13,1.59E+12,84165751216,3.01E+12,4.58E+11
1997Q1,1927648000,1819351654,225132149,56066000,73,83,52,3.64E+13,1.69E+12,89402723350,3.03E+12,4.95E+11
1997Q2,2129061000,1876568011,286580047,69899000,73,83,52,3.82E+13,1.81E+12,94826146227,3.08E+12,5.35E+11
1997Q3,2432413000,1916104766,256272779,36605000,74,82,53,4.01E+13,1.93E+12,99871546924,3.12E+12,5.76E+11
1997Q4,2366915000,2012229744,204495104,81842000,74,82,54,4.20E+13,2.07E+12,1.04451E+11,3.14E+12,6.20E+11
1998Q1,2286508000,1896369680,242222712,78588000,74,83,56,4.39E+13,2.18E+12,1.09105E+11,3.18E+12,6.67E+11
1998Q2,2464569000,1817312914,340777610,69036000,75,82,57,4.59E+13,2.30E+12,1.13546E+11,3.21E+12,7.11E+11
1998Q3,2851115000,1642987444,362679034,71749000,75,81,59,4.80E+13,2.43E+12,1.17262E+11,3.25E+12,7.64E+11
1998Q4,2542368000,1529951538,380657481,124310000,75,81,60,5.01E+13,2.58E+12,1.21403E+11,3.30E+12,8.27E+11
1999Q1,2365108000,1638211061,369585665,127135000,75,82,61,5.22E+13,2.70E+12,1.25771E+11,3.33E+12,8.97E+11
1999Q2,2572422150,1721267300,289480460,148144330,76,80,61,5.44E+13,2.83E+12,1.30286E+11,3.36E+12,9.71E+11
