t,export_us,import_us,export_cn,import_cn,P_us,P_cn,P_th,C_us,C_cn,C_th,Y_us,Y_cn
1991Q1,954739766,1269410760,93550424,312877622,62,41,51.4,1.21E+12,,5586037323 ,2.49E+12,
1991Q2,1047228006,1382036251,87599144,295866046,62,42,52.5,2.42E+12,,11698302392 ,2.51E+12,
1991Q3,1023758611,1755959272,72919848,280192504,63,42,52.9,3.64E+12,,18480630489 ,2.52E+12,
1991Q4,963545473,1660286940,81129946,260509091,63,43,53.6,4.85E+12,,26081949959 ,2.53E+12,
1992Q1,1187065187,1567748312,88330348,267214517,64,43,53.8,6.08E+12,,34530403964 ,2.56E+12,
1992Q2,1027832120,1743794469,76120509,362594378,64,44,54.6,7.34E+12,59036916092,43896359610 ,2.59E+12,
1992Q3,1330837229,2029827499,86030730,318050567,65,44,55.4,8.62E+12,1.25E+11,54417052993 ,2.61E+12,
1992Q4,1230404842,1961313428,135277877,271612238,65,46,55.3,9.93E+12,1.98E+11,66038411865 ,2.64E+12,1.06E+11
1993Q1,1396990974,1809058792,124044819,270821998,66,48,55.5,1.12E+13,2.57E+11,78101072604 ,2.64E+12,1.23E+11
1993Q2,1317233447,1878875763,126178394,271621299,66,51,56.3,1.26E+13,3.30E+11,90626378094 ,2.66E+12,1.37E+11
1993Q3,1233960591,2179960314,118786372,274492649,66,52,57.1,1.40E+13,4.12E+11,103843700300 ,2.67E+12,1.53E+11
1993Q4,1431259517,2137115164,60720322,87587698,67,54,57.5,1.54E+13,5.07E+11,116393881052 ,2.71E+12,1.74E+11
1994Q1,1460585137,2010827598,141002254,314684138,67,59,58.1,1.68E+13,5.61E+11,129714881242 ,2.73E+12,1.94E+11
1994Q2,1570069658,2284661411,184244461,328059226,68,62,59.1,1.83E+13,6.27E+11,144715440561 ,2.77E+12,2.17E+11
1994Q3,1561004314,2719910744,298992755,351129763,68,65,60.1,1.98E+13,7.02E+11,159695938064 ,2.79E+12,2.36E+11
1994Q4,1858410459,2510433415,305517225,394290382,69,69,60.5,2.13E+13,7.90E+11,175085643717 ,2.82E+12,2.50E+11
1995Q1,2039543437,2304172400,422593576,428969358,69,72,61,2.29E+13,8.62E+11,192417645400 ,2.83E+12,2.63E+11
1995Q2,2003648043,2437829145,548977321,542813140,70,74,62.3,2.45E+13,9.49E+11,209267212503 ,2.84E+12,2.79E+11
1995Q3,2015054711,2773937079,263806177,588489807,70,74,63.6,2.61E+13,1.05E+12,226959552262 ,2.86E+12,3.04E+11
