Date,Toyota,Honda,Nikkei,SMB,HML,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
20150106,-2.757,-2.182,-3.019,0.8,-0.08,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20150107,1.465,-0.811,0.013,0.15,0.01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20150108,1.984,1.927,1.669,-0.39,-0.06,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20150109,0.729,1.145,0.178,-0.67,0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150113,-1.184,-0.027,-0.64,0.1,-0.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20150114,-1.634,0.495,-1.707,0.43,0.04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20150115,1.756,1.226,1.862,-0.52,0.06,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20150116,-0.16,-0.069,-1.429,-0.1,-0.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150119,-0.652,0.975,0.89,-0.29,0.26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150120,2.598,0.607,2.069,-0.64,-0.04,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20150121,-0.924,-0.261,-0.494,0.04,-0.32,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20150122,-0.043,0.441,0.281,-0.23,0.27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20150123,1.32,0.89,1.054,-0.44,0.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150126,0.523,-1.357,-0.247,0.52,-0.07,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150127,1.293,1.953,1.716,-0.94,0.43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20150128,-0.091,-1.551,0.154,0.46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20150129,-1.136,-1.083,-1.065,0.28,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20150130,-1.089,-0.776,0.387,0.32,0.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20150202,0.198,3.31,-0.658,-0.12,-0.28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150203,-1.437,-2.866,-1.265,-0.26,0.82,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20150204,2.358,2.657,1.978,-0.8,0.63,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20150205,-0.956,1.356,-0.985,0,0.12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
20150206,-0.406,1.203,0.822,-0.31,-0.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150209,1.01,0.965,0.359,0.07,0.07,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150210,0.168,0.589,-0.335,0.02,0.07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20150212,1.789,1.211,1.853,-0.82,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
20150213,-0.548,-0.193,-0.369,-0.25,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150216,0.271,1.417,0.51,-0.35,0.62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150217,-0.347,-0.126,-0.098,0.24,0.05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20150218,2.012,0.432,1.179,-0.66,-0.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20150219,0.489,0.227,0.361,-0.22,0.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
