Date,JPY_USD,USD_EUR,USD_GBP,CHF_USD,CHY_USD,HKD_USD,KRW_USD,SGD_USD
1972/2/1,310.37,,2.5998,3.8677,,,,
1972/2/2,308.55,,2.6067,3.8462,,,,
1972/2/3,309.12,,2.6046,3.858,,,,
1972/2/4,308.64,,2.6,3.8745,,,,
1972/2/7,308.17,,2.6029,3.873,,,,
1972/2/8,307.69,,2.6037,3.8692,,,,
1972/2/9,304.79,,2.605,3.861,,,,
1972/2/10,304.69,,2.6059,3.861,,,,
1972/2/11,304.69,,2.6055,3.858,,,,
1972/2/14,304.23,,2.5952,3.861,,,,
1972/2/15,304.14,,2.5937,3.864,,,,
1972/2/16,303.95,,2.6045,3.8447,,,,
1972/2/17,303.95,,2.605,3.8484,,,,
1972/2/18,303.49,,2.6055,3.8491,,,,
1972/2/21,,,,,,,,
1972/2/22,302.85,,2.605,3.8595,,,,
1972/2/23,302.48,,2.6062,3.8565,,,,
1972/2/24,302.11,,2.607,3.8565,,,,
1972/2/25,302.48,,2.6054,3.8692,,,,
1972/2/28,303.95,,2.6057,3.8752,,,,
1972/2/29,303.4,,2.6059,3.8685,,,,
1972/3/1,303.21,,2.6058,3.8711,,,,
1972/3/2,303.03,,2.6058,3.8685,,,,
1972/3/3,302.66,,2.6077,3.8715,,,,
1972/3/6,302.75,,2.6112,3.861,,,,
1972/3/7,302.3,,2.6213,3.8573,,,,
1972/3/8,302.02,,2.6257,3.841,,,,
1972/3/9,301.66,,2.644,3.8183,,,,
1972/3/10,301.93,,2.6409,3.8175,,,,
1972/3/13,302.3,,2.6387,3.9817,,,,
1972/3/14,302.21,,2.629,3.8358,,,,
1972/3/15,302.11,,2.621,3.8388,,,,
1972/3/16,302.02,,2.62,3.8432,,,,
1972/3/17,302.11,,2.61,3.858,,,,
1972/3/20,302.3,,2.6105,3.8625,,,,
1972/3/21,302.11,,2.6175,3.8513,,,,
1972/3/22,302.11,,2.6168,3.8603,,,,
1972/3/23,301.93,,2.6096,3.8655,,,,
1972/3/24,302.3,,2.6065,3.87,,,,
1972/3/27,302.57,,2.6107,3.8591,,,,
1972/3/28,302.85,,2.615,3.8528,,,,
1972/3/29,303.77,,2.616,3.8476,,,,
1972/3/30,303.77,,2.6152,3.8366,,,,
1972/3/31,304.32,,2.6163,3.8358,,,,
1972/4/3,304.14,,2.616,3.8373,,,,
1972/4/4,304.97,,2.6128,3.8476,,,,
1972/4/5,305.16,,2.612,3.8491,,,,
1972/4/6,304.88,,2.6093,3.8521,,,,
1972/4/7,303.21,,2.6088,3.8521,,,,
1972/4/10,302.11,,2.6082,3.7092,,,,
