Date,Yen,10USB,10JPB,P_JP,P_US
1990/1/1,144.982,7.94,6.114,3.283,5.198
1990/2/1,145.693,8.42,6.221,3.765,5.263
1990/3/1,153.308,8.59,6.537,3.63,5.237
1990/4/1,158.459,8.65,6.832,2.762,4.712
1990/5/1,154.044,9.08,6.74,2.632,4.365
1990/6/1,153.696,8.44,6.392,2.288,4.674
1990/7/1,149.04,8.43,6.709,2.294,4.819
1990/8/1,147.461,8.29,6.983,2.755,5.703
1990/9/1,138.441,8.4,7.554,2.617,6.17
1990/10/1,129.591,8.71,7.98,3.051,6.38
1990/11/1,129.216,8.57,7.318,3.995,6.195
1990/12/1,133.889,8.22,6.831,3.763,6.255
1991/1/1,133.699,8.1,6.475,3.973,5.647
1991/2/1,130.536,7.91,6.499,3.515,5.313
1991/3/1,137.387,8.12,6.589,3.729,4.821
1991/4/1,137.113,8.07,6.625,3.359,4.81
1991/5/1,138.222,8.01,6.598,3.456,5.035
1991/6/1,139.748,8.14,6.59,3.356,4.696
1991/7/1,137.83,8.26,6.694,3.475,4.368
1991/8/1,136.816,8.2,6.547,3.352,3.799
1991/9/1,134.3,7.8,6.284,2.772,3.396
1991/10/1,130.772,7.45,6.036,2.741,2.849
1991/11/1,129.632,7.48,5.994,2.964,3.067
1991/12/1,128.04,7.32,5.894,2.637,2.981
1992/1/1,125.461,7.33,5.549,1.747,2.673
1992/2/1,127.699,7.36,5.572,1.972,2.819
1992/3/1,132.863,7.38,5.553,1.961,3.19
1992/4/1,133.54,7.46,5.55,2.492,3.183
1992/5/1,130.771,7.56,5.779,1.94,3.024
1992/6/1,126.836,7.39,5.664,2.381,3.015
1992/7/1,125.882,7.1,5.542,1.625,3.157
1992/8/1,126.231,6.72,5.327,1.73,3.075
1992/9/1,122.597,6.56,5.159,2.05,2.993
1992/10/1,121.165,6.23,5.024,0.961,3.28
1992/11/1,123.88,6.88,4.96,0.746,3.12
1992/12/1,124.041,6.94,4.867,1.178,2.967
1993/1/1,124.993,6.65,4.877,1.288,3.254
1993/2/1,120.76,6.38,4.706,1.504,3.247
1993/3/1,117.017,5.94,4.333,1.175,3.019
1993/4/1,112.411,6.06,4.554,0.846,3.156
1993/5/1,110.343,5.96,4.572,0.846,3.221
1993/6/1,107.412,6.07,4.86,0.846,2.998
1993/7/1,107.691,5.8,4.624,1.919,2.847
1993/8/1,103.765,5.85,4.458,1.913,2.841
1993/9/1,105.575,5.46,4.248,1.48,2.764
1993/10/1,107.02,5.34,4.027,1.374,2.752
1993/11/1,107.877,5.56,3.879,0.952,2.745
1993/12/1,109.913,5.82,3.605,0.952,2.811
1994/1/1,111.442,5.92,3.461,1.165,2.451
1994/2/1,106.301,5.77,3.918,1.058,2.516
1994/3/1,105.097,6.28,4.261,1.373,2.652
1994/4/1,103.484,6.67,4.12,0.839,2.364
1994/5/1,103.753,7.09,4.111,0.943,2.288
1994/6/1,102.526,7.12,4.055,0.524,2.495
1994/7/1,98.445,7.34,4.31,-0.209,2.699
1994/8/1,99.94,7.13,4.536,0,2.901
1994/9/1,98.774,7.19,4.765,0.208,2.966
1994/10/1,98.353,7.66,4.619,0.73,2.61
1994/11/1,98.044,7.91,4.69,0.943,2.603
1994/12/1,100.182,7.92,4.615,0.734,2.597
1995/1/1,99.766,6.78,4.677,0.628,2.871
