国債金利情報 (令和8年3月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R8.3.2,1.002,1.219,1.308,1.437,1.552,1.639,1.728,1.857,1.975,2.087,2.604,2.941,3.245,3.293,3.399
R8.3.3,1.024,1.25,1.352,1.494,1.611,1.7,1.795,1.919,2.034,2.148,2.67,3.004,3.308,3.337,3.431
R8.3.4,1.005,1.235,1.336,1.48,1.597,1.686,1.778,1.902,2.022,2.134,2.668,3.008,3.318,3.353,3.45
R8.3.5,1.006,1.256,1.371,1.524,1.641,1.731,1.824,1.948,2.066,2.175,2.697,3.026,3.331,3.374,3.462
R8.3.6,0.997,1.246,1.362,1.517,1.637,1.729,1.82,1.946,2.067,2.18,2.707,3.042,3.34,3.384,3.465
R8.3.9,0.99,1.242,1.359,1.523,1.644,1.746,1.838,1.966,2.086,2.205,2.748,3.09,3.39,3.44,3.51
R8.3.10,1.002,1.258,1.364,1.529,1.648,1.747,1.839,1.963,2.081,2.199,2.726,3.069,3.368,3.412,3.501
R8.3.11,0.992,1.253,1.351,1.514,1.633,1.724,1.82,1.941,2.059,2.178,2.72,3.069,3.369,3.421,3.525
R8.3.12,0.993,1.263,1.366,1.531,1.646,1.743,1.846,1.968,2.086,2.201,2.742,3.095,3.406,3.451,3.56
R8.3.13,1.008,1.289,1.395,1.573,1.7,1.793,1.902,2.021,2.141,2.255,2.782,3.133,3.444,3.479,3.577
R8.3.16,1.008,1.287,1.402,1.586,1.709,1.809,1.92,2.046,2.169,2.288,2.814,3.167,3.477,3.515,3.619
R8.3.17,1.014,1.28,1.4,1.581,1.7,1.804,1.916,2.041,2.165,2.279,2.808,3.155,3.474,3.514,3.607
R8.3.18,1,1.261,1.377,1.543,1.663,1.761,1.867,1.993,2.119,2.231,2.758,3.113,3.429,3.462,3.558
R8.3.19,1.021,1.277,1.399,1.567,1.691,1.795,1.903,2.034,2.157,2.273,2.793,3.146,3.451,3.491,3.583
R8.3.23,1.041,1.311,1.437,1.611,1.746,1.848,1.953,2.079,2.198,2.322,2.83,3.188,3.495,3.522,3.606
R8.3.24,1.053,1.311,1.431,1.602,1.731,1.83,1.932,2.053,2.171,2.282,2.802,3.161,3.478,3.509,3.598
R8.3.25,1.064,1.317,1.443,1.61,1.74,1.829,1.923,2.044,2.158,2.267,2.793,3.136,3.447,3.479,3.565
R8.3.26,1.084,1.348,1.472,1.64,1.761,1.856,1.953,2.07,2.185,2.286,2.81,3.148,3.452,3.489,3.556
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
