主要時系列統計データ表
2026/03/30 15:00
"","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）","マネーストック（月次）"
"系列名称","Ｍ２／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ３／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿Ｍ１／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","広義流動性／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿現金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿＿預金通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿準通貨／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","＿ＣＤ／平残前年比／マネーストック（2004年3月以前はマネーサプライ）","Ｍ２／平／マネーストック","Ｍ３／平／マネーストック","＿Ｍ１／平／マネーストック","広義流動性／平／マネーストック","＿＿現金通貨／平／マネーストック","＿＿預金通貨／平／マネーストック","＿準通貨／平／マネーストック","＿ＣＤ／平／マネーストック"
"データコード",MD02'MAM1YAM2M2MO,MD02'MAM1YAM3M3MO,MD02'MAM1YAM3M1MO,MD02'MAM1YABLBLMO,MD02'MAM1YAM3CCMO,MD02'MAM1YAM3DMMO,MD02'MAM1YAM3QMMO,MD02'MAM1YAM3CDMO,MD02'MAM1NAM2M2MO,MD02'MAM1NAM3M3MO,MD02'MAM1NAM3M1MO,MD02'MAM1NABLBLMO,MD02'MAM1NAM3CCMO,MD02'MAM1NAM3DMMO,MD02'MAM1NAM3QMMO,MD02'MAM1NAM3CDMO
"単位",％,％,％,％,％,％,％,％,億円,億円,億円,億円,億円,億円,億円,億円
"収録開始期","1968/01","1997/01","1964/01","1981/01","1964/01","1964/01","1968/01","1980/05","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04","2003/04"
"収録終了期","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02","2026/02"
"最終更新日","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10","2026/03/10"
1980/01,10.6,,6.5,,8.6,6,11.7,,,,,,,,,
1980/02,10.8,,7,,9.2,6.4,11.6,,,,,,,,,
1980/03,10.6,,8.1,,9.7,7.6,11,,,,,,,,,
1980/04,10.4,,7,,9.5,6.4,11.1,,,,,,,,,
1980/05,10.3,,4.1,,7.9,3.2,12.4,1022.8,,,,,,,,
1980/06,9.6,,3,,8.2,1.6,12,284.4,,,,,,,,
1980/07,8.8,,0.5,,6.3,-1,12.1,186.4,,,,,,,,
1980/08,8.3,,-1.2,,4.9,-2.9,12.5,118.8,,,,,,,,
1980/09,8,,-0.1,,4.8,-1.4,11.7,89.6,,,,,,,,
1980/10,7.6,,-0.8,,4.2,-2.1,11.5,63.5,,,,,,,,
1980/11,7.9,,-0.9,,4,-2.2,11.9,64.6,,,,,,,,
1980/12,7.8,,-1.5,,3.1,-2.9,12.7,57.4,,,,,,,,
1981/01,7.4,,-1.8,10.8,2.9,-3.1,11.9,56.5,,,,,,,,
1981/02,7.6,,-1.1,10.8,2.4,-2.1,11.8,39.8,,,,,,,,
1981/03,7.7,,-1.5,10.9,2.2,-2.5,12.4,39.9,,,,,,,,
1981/04,7.9,,-4.1,10.9,0.8,-5.4,14.6,8.4,,,,,,,,
1981/05,7.5,,-0.3,10.8,2.4,-1,12,-13.4,,,,,,,,
1981/06,8.3,,3.3,11.4,2.9,3.4,11.4,-13,,,,,,,,
1981/07,9,,5.6,11.1,4.5,5.9,11,-5.1,,,,,,,,
1981/08,9.6,,6.7,11,5.2,7.1,11,13.6,,,,,,,,
1981/09,10.1,,7.3,11.2,5.5,7.8,11.2,29.9,,,,,,,,
1981/10,10.8,,8.3,11.3,5.9,9,11.4,44.7,,,,,,,,
1981/11,10.4,,8.2,11.5,6.3,8.7,10.9,46.1,,,,,,,,
1981/12,10.5,,10.1,11.4,6.9,11.2,10.1,47.1,,,,,,,,
1982/01,10.7,,7,11.4,5.1,7.6,12,41.4,,,,,,,,
1982/02,10.6,,6.3,11.1,6.1,6.3,12.2,38.1,,,,,,,,
1982/03,10.5,,7.1,11.1,6.2,7.3,11.7,43.9,,,,,,,,
1982/04,9.3,,8.2,10.8,7.6,8.4,9.2,64,,,,,,,,
1982/05,9.4,,6.5,11.1,7.9,6.1,10,77.6,,,,,,,,
1982/06,8.8,,4.9,10.5,7.3,4.3,9.9,65.4,,,,,,,,
1982/07,9.3,,5.6,10.7,7,5.2,10.2,63.7,,,,,,,,
1982/08,9,,5,10.6,7.3,4.3,10.1,56.4,,,,,,,,
1982/09,8.9,,5.3,10.6,7.7,4.6,9.9,47.4,,,,,,,,
1982/10,8.3,,4.7,10.3,7.9,3.8,9.3,39.7,,,,,,,,
1982/11,8,,4.4,9.9,8,3.4,9.2,32.7,,,,,,,,
1982/12,7.9,,4.9,9.9,7.1,4.3,8.9,34,,,,,,,,
1983/01,7.7,,6.7,10,7.9,6.3,7.6,34.9,,,,,,,,
1983/02,7.4,,6,10,8.4,5.3,7.6,35.5,,,,,,,,
1983/03,7.6,,5.6,10.1,8.1,4.9,7.9,45.5,,,,,,,,
1983/04,7.6,,4.5,9.7,6.8,3.8,8.1,64.2,,,,,,,,
1983/05,7.5,,3.6,9.4,5.6,3.1,8.4,57.7,,,,,,,,
1983/06,7.7,,3.8,9.7,5.8,3.3,8.6,50.2,,,,,,,,
1983/07,7.1,,3.1,9.6,5.3,2.4,8.2,36.8,,,,,,,,
1983/08,6.9,,2.5,9.8,5.3,1.7,8.1,35.4,,,,,,,,
1983/09,7.2,,3.2,9.8,5.1,2.6,8.2,44.4,,,,,,,,
1983/10,7.2,,2.2,10,5,1.4,8.5,40.6,,,,,,,,
1983/11,6.8,,0.8,9.9,4,-0.1,8.8,33.6,,,,,,,,
1983/12,7.6,,2.1,10,4,1.5,9.6,33.4,,,,,,,,
